dt,angle_x,angle_y,angle_z
2013-04-20 17:37:39.036,21.934,45.0,0.0
2013-04-20 17:37:40.000,21.992,44.69,0.0
2013-04-20 17:37:41.000,22.051,44.364,0.0
2013-04-20 17:37:42.000,22.11,44.034,0.0
2013-04-20 17:37:43.000,22.168,43.699,0.0
2013-04-20 17:37:44.000,22.227,43.359,0.0
2013-04-20 17:37:45.000,22.285,43.015,0.0
2013-04-20 17:37:46.000,22.344,42.666,0.0
2013-04-20 17:37:47.000,22.401,42.312,0.0
2013-04-20 17:37:48.000,22.459,41.953,0.0
2013-04-20 17:37:49.000,22.517,41.589,0.0
2013-04-20 17:37:50.000,22.574,41.22,0.0
2013-04-20 17:37:51.000,22.631,40.846,0.0
2013-04-20 17:37:52.000,22.688,40.468,0.0
2013-04-20 17:37:53.000,22.745,40.084,0.0
2013-04-20 17:37:54.000,22.801,39.694,0.0
2013-04-20 17:37:55.000,22.857,39.3,0.0
2013-04-20 17:37:56.000,22.913,38.9,0.0
2013-04-20 17:37:57.000,22.969,38.495,0.0
2013-04-20 17:37:58.000,23.025,38.084,0.0
2013-04-20 17:37:59.000,23.08,37.668,0.0
2013-04-20 17:38:00.000,23.135,37.247,0.0
2013-04-20 17:38:01.000,23.19,36.82,0.0
2013-04-20 17:38:02.000,23.244,36.387,0.0
2013-04-20 17:38:03.000,23.299,35.949,0.0
2013-04-20 17:38:04.000,23.353,35.505,0.0
2013-04-20 17:38:05.000,23.407,35.055,0.0
2013-04-20 17:38:06.000,23.46,34.6,0.0
2013-04-20 17:38:07.000,23.513,34.139,0.0
2013-04-20 17:38:08.000,23.567,33.672,0.0
2013-04-20 17:38:09.000,23.619,33.199,0.0
2013-04-20 17:38:10.000,23.672,32.72,0.0
2013-04-20 17:38:11.000,23.724,32.236,0.0
2013-04-20 17:38:12.000,23.776,31.745,0.0
2013-04-20 17:38:13.000,23.828,31.249,0.0
2013-04-20 17:38:14.000,23.879,30.747,0.0
2013-04-20 17:38:15.000,23.931,30.238,0.0
2013-04-20 17:38:16.000,23.981,29.724,0.0
2013-04-20 17:38:17.000,24.032,29.204,0.0
2013-04-20 17:38:18.000,24.082,28.678,0.0
2013-04-20 17:38:19.000,24.133,28.146,0.0
2013-04-20 17:38:20.000,24.182,27.609,0.0
2013-04-20 17:38:21.000,24.232,27.065,0.0
2013-04-20 17:38:22.000,24.281,26.516,0.0
2013-04-20 17:38:23.000,24.33,25.96,0.0
2013-04-20 17:38:24.000,24.379,25.399,0.0
2013-04-20 17:38:25.000,24.427,24.832,0.0
2013-04-20 17:38:26.000,24.475,24.26,0.0
2013-04-20 17:38:27.000,24.523,23.682,0.0
2013-04-20 17:38:28.000,24.57,23.098,0.0
2013-04-20 17:38:29.000,24.617,22.508,0.0
2013-04-20 17:38:30.000,24.664,21.914,0.0
2013-04-20 17:38:31.000,24.711,21.314,0.0
2013-04-20 17:38:32.000,24.757,20.708,0.0
2013-04-20 17:38:33.000,24.803,20.098,0.0
2013-04-20 17:38:34.000,24.849,19.482,0.0
2013-04-20 17:38:35.000,24.894,18.861,0.0
2013-04-20 17:38:36.000,24.939,18.236,0.0
2013-04-20 17:38:37.000,24.984,17.605,0.0
2013-04-20 17:38:38.000,25.028,16.97,0.0
2013-04-20 17:38:39.000,25.072,16.331,0.0
2013-04-20 17:38:40.000,25.116,15.687,0.0
2013-04-20 17:38:41.000,25.159,15.039,0.0
2013-04-20 17:38:42.000,25.202,14.387,0.0
2013-04-20 17:38:43.000,25.245,13.731,0.0
2013-04-20 17:38:44.000,25.287,13.071,0.0
2013-04-20 17:38:45.000,25.33,12.407,0.0
2013-04-20 17:38:46.000,25.371,11.74,0.0
2013-04-20 17:38:47.000,25.413,11.07,0.0
2013-04-20 17:38:48.000,25.454,10.397,0.0
2013-04-20 17:38:49.000,25.495,9.721,0.0
2013-04-20 17:38:50.000,25.535,9.043,0.0
2013-04-20 17:38:51.000,25.575,8.362,0.0
2013-04-20 17:38:52.000,25.615,7.678,0.0
2013-04-20 17:38:53.000,25.654,6.993,0.0
2013-04-20 17:38:54.000,25.694,6.306,0.0
2013-04-20 17:38:55.000,25.732,5.617,0.0
2013-04-20 17:38:56.000,25.771,4.927,0.0
2013-04-20 17:38:57.000,25.809,4.235,0.0
2013-04-20 17:38:58.000,25.847,3.543,0.0
2013-04-20 17:38:59.000,25.884,2.85,0.0
2013-04-20 17:39:00.000,25.921,2.157,0.0
2013-04-20 17:39:01.000,25.958,1.463,0.0
2013-04-20 17:39:02.000,25.994,0.769,0.0
2013-04-20 17:39:03.000,26.03,0.076,0.0
2013-04-20 17:39:04.000,26.066,-0.617,0.0
2013-04-20 17:39:05.000,26.101,-1.31,0.0
2013-04-20 17:39:06.000,26.136,-2.001,0.0
2013-04-20 17:39:07.000,26.171,-2.692,0.0
2013-04-20 17:39:08.000,26.205,-3.381,0.0
2013-04-20 17:39:09.000,26.239,-4.068,0.0
2013-04-20 17:39:10.000,26.272,-4.754,0.0
2013-04-20 17:39:11.000,26.305,-5.438,0.0
2013-04-20 17:39:12.000,26.338,-6.119,0.0
2013-04-20 17:39:13.000,26.371,-6.798,0.0
2013-04-20 17:39:14.000,26.403,-7.475,0.0
2013-04-20 17:39:15.000,26.435,-8.149,0.0
2013-04-20 17:39:16.000,26.466,-8.819,0.0
2013-04-20 17:39:17.000,26.497,-9.487,0.0
2013-04-20 17:39:18.000,26.528,-10.151,0.0
2013-04-20 17:39:19.000,26.558,-10.812,0.0
2013-04-20 17:39:20.000,26.588,-11.469,0.0
2013-04-20 17:39:21.000,26.617,-12.122,0.0
2013-04-20 17:39:22.000,26.647,-12.771,0.0
2013-04-20 17:39:23.000,26.675,-13.416,0.0
2013-04-20 17:39:24.000,26.704,-14.056,0.0
2013-04-20 17:39:25.000,26.732,-14.692,0.0
2013-04-20 17:39:26.000,26.76,-15.324,0.0
2013-04-20 17:39:27.000,26.787,-15.951,0.0
2013-04-20 17:39:28.000,26.814,-16.572,0.0
2013-04-20 17:39:29.000,26.841,-17.189,0.0
2013-04-20 17:39:30.000,26.867,-17.801,0.0
2013-04-20 17:39:31.000,26.893,-18.408,0.0
2013-04-20 17:39:32.000,26.919,-19.009,0.0
2013-04-20 17:39:33.000,26.944,-19.605,0.0
2013-04-20 17:39:34.000,26.969,-20.196,0.0
2013-04-20 17:39:35.000,26.993,-20.781,0.0
2013-04-20 17:39:36.000,27.017,-21.361,0.0
2013-04-20 17:39:37.000,27.041,-21.935,0.0
2013-04-20 17:39:38.000,27.065,-22.504,0.0
2013-04-20 17:39:39.000,27.088,-23.066,0.0
2013-04-20 17:39:40.000,27.11,-23.623,0.0
2013-04-20 17:39:41.000,27.133,-24.174,0.0
2013-04-20 17:39:42.000,27.154,-24.72,0.0
2013-04-20 17:39:43.000,27.176,-25.259,0.0
2013-04-20 17:39:44.000,27.197,-25.793,0.0
2013-04-20 17:39:45.000,27.218,-26.321,0.0
2013-04-20 17:39:46.000,27.238,-26.842,0.0
2013-04-20 17:39:47.000,27.259,-27.358,0.0
2013-04-20 17:39:48.000,27.278,-27.868,0.0
2013-04-20 17:39:49.000,27.298,-28.373,0.0
2013-04-20 17:39:50.000,27.317,-28.871,0.0
2013-04-20 17:39:51.000,27.335,-29.363,0.0
2013-04-20 17:39:52.000,27.354,-29.85,0.0
2013-04-20 17:39:53.000,27.372,-30.331,0.0
2013-04-20 17:39:54.000,27.389,-30.806,0.0
2013-04-20 17:39:55.000,27.406,-31.275,0.0
2013-04-20 17:39:56.000,27.423,-31.738,0.0
2013-04-20 17:39:57.000,27.44,-32.195,0.0
2013-04-20 17:39:58.000,27.456,-32.647,0.0
