year,month,day,hour,minute,second,angle_x,angle_y,angle_z,dt
2013,4,20,8,35,5.974,6.556,45.0,0.0,2013-04-20 08:35:05
2013,4,20,8,35,6.0,6.557,44.991,0.0,2013-04-20 08:35:06
2013,4,20,8,35,7.0,6.605,44.658,0.0,2013-04-20 08:35:07
2013,4,20,8,35,8.0,6.652,44.32,0.0,2013-04-20 08:35:08
2013,4,20,8,35,9.0,6.699,43.977,0.0,2013-04-20 08:35:09
2013,4,20,8,35,10.0,6.746,43.629,0.0,2013-04-20 08:35:10
2013,4,20,8,35,11.0,6.794,43.275,0.0,2013-04-20 08:35:11
2013,4,20,8,35,12.0,6.841,42.917,0.0,2013-04-20 08:35:12
2013,4,20,8,35,13.0,6.888,42.553,0.0,2013-04-20 08:35:13
2013,4,20,8,35,14.0,6.936,42.183,0.0,2013-04-20 08:35:14
2013,4,20,8,35,15.0,6.983,41.808,0.0,2013-04-20 08:35:15
2013,4,20,8,35,16.0,7.03,41.428,0.0,2013-04-20 08:35:16
2013,4,20,8,35,17.0,7.077,41.042,0.0,2013-04-20 08:35:17
2013,4,20,8,35,18.0,7.124,40.65,0.0,2013-04-20 08:35:18
2013,4,20,8,35,19.0,7.172,40.253,0.0,2013-04-20 08:35:19
2013,4,20,8,35,20.0,7.219,39.85,0.0,2013-04-20 08:35:20
2013,4,20,8,35,21.0,7.266,39.44,0.0,2013-04-20 08:35:21
2013,4,20,8,35,22.0,7.313,39.025,0.0,2013-04-20 08:35:22
2013,4,20,8,35,23.0,7.36,38.604,0.0,2013-04-20 08:35:23
2013,4,20,8,35,24.0,7.407,38.177,0.0,2013-04-20 08:35:24
2013,4,20,8,35,25.0,7.454,37.744,0.0,2013-04-20 08:35:25
2013,4,20,8,35,26.0,7.501,37.304,0.0,2013-04-20 08:35:26
2013,4,20,8,35,27.0,7.548,36.859,0.0,2013-04-20 08:35:27
2013,4,20,8,35,28.0,7.595,36.407,0.0,2013-04-20 08:35:28
2013,4,20,8,35,29.0,7.642,35.948,0.0,2013-04-20 08:35:29
2013,4,20,8,35,30.0,7.689,35.483,0.0,2013-04-20 08:35:30
2013,4,20,8,35,31.0,7.736,35.012,0.0,2013-04-20 08:35:31
2013,4,20,8,35,32.0,7.782,34.534,0.0,2013-04-20 08:35:32
2013,4,20,8,35,33.0,7.829,34.05,0.0,2013-04-20 08:35:33
2013,4,20,8,35,34.0,7.876,33.559,0.0,2013-04-20 08:35:34
2013,4,20,8,35,35.0,7.922,33.061,0.0,2013-04-20 08:35:35
2013,4,20,8,35,36.0,7.969,32.556,0.0,2013-04-20 08:35:36
2013,4,20,8,35,37.0,8.015,32.045,0.0,2013-04-20 08:35:37
2013,4,20,8,35,38.0,8.062,31.527,0.0,2013-04-20 08:35:38
2013,4,20,8,35,39.0,8.108,31.003,0.0,2013-04-20 08:35:39
2013,4,20,8,35,40.0,8.154,30.471,0.0,2013-04-20 08:35:40
2013,4,20,8,35,41.0,8.201,29.933,0.0,2013-04-20 08:35:41
2013,4,20,8,35,42.0,8.247,29.388,0.0,2013-04-20 08:35:42
2013,4,20,8,35,43.0,8.293,28.836,0.0,2013-04-20 08:35:43
2013,4,20,8,35,44.0,8.339,28.277,0.0,2013-04-20 08:35:44
2013,4,20,8,35,45.0,8.385,27.711,0.0,2013-04-20 08:35:45
2013,4,20,8,35,46.0,8.431,27.139,0.0,2013-04-20 08:35:46
2013,4,20,8,35,47.0,8.477,26.56,0.0,2013-04-20 08:35:47
2013,4,20,8,35,48.0,8.522,25.974,0.0,2013-04-20 08:35:48
2013,4,20,8,35,49.0,8.568,25.381,0.0,2013-04-20 08:35:49
2013,4,20,8,35,50.0,8.614,24.782,0.0,2013-04-20 08:35:50
2013,4,20,8,35,51.0,8.659,24.176,0.0,2013-04-20 08:35:51
2013,4,20,8,35,52.0,8.704,23.563,0.0,2013-04-20 08:35:52
2013,4,20,8,35,53.0,8.75,22.944,0.0,2013-04-20 08:35:53
2013,4,20,8,35,54.0,8.795,22.319,0.0,2013-04-20 08:35:54
2013,4,20,8,35,55.0,8.84,21.687,0.0,2013-04-20 08:35:55
2013,4,20,8,35,56.0,8.885,21.048,0.0,2013-04-20 08:35:56
2013,4,20,8,35,57.0,8.93,20.404,0.0,2013-04-20 08:35:57
2013,4,20,8,35,58.0,8.975,19.754,0.0,2013-04-20 08:35:58
2013,4,20,8,35,59.0,9.02,19.097,0.0,2013-04-20 08:35:59
2013,4,20,8,36,0.0,9.064,18.435,0.0,2013-04-20 08:36:00
2013,4,20,8,36,1.0,9.109,17.767,0.0,2013-04-20 08:36:01
2013,4,20,8,36,2.0,9.153,17.093,0.0,2013-04-20 08:36:02
2013,4,20,8,36,3.0,9.198,16.414,0.0,2013-04-20 08:36:03
2013,4,20,8,36,4.0,9.242,15.73,0.0,2013-04-20 08:36:04
2013,4,20,8,36,5.0,9.286,15.04,0.0,2013-04-20 08:36:05
2013,4,20,8,36,6.0,9.33,14.346,0.0,2013-04-20 08:36:06
2013,4,20,8,36,7.0,9.374,13.647,0.0,2013-04-20 08:36:07
2013,4,20,8,36,8.0,9.418,12.943,0.0,2013-04-20 08:36:08
2013,4,20,8,36,9.0,9.461,12.235,0.0,2013-04-20 08:36:09
2013,4,20,8,36,10.0,9.505,11.523,0.0,2013-04-20 08:36:10
2013,4,20,8,36,11.0,9.548,10.806,0.0,2013-04-20 08:36:11
2013,4,20,8,36,12.0,9.591,10.087,0.0,2013-04-20 08:36:12
2013,4,20,8,36,13.0,9.634,9.363,0.0,2013-04-20 08:36:13
2013,4,20,8,36,14.0,9.677,8.637,0.0,2013-04-20 08:36:14
2013,4,20,8,36,15.0,9.72,7.907,0.0,2013-04-20 08:36:15
2013,4,20,8,36,16.0,9.763,7.175,0.0,2013-04-20 08:36:16
2013,4,20,8,36,17.0,9.806,6.44,0.0,2013-04-20 08:36:17
2013,4,20,8,36,18.0,9.848,5.703,0.0,2013-04-20 08:36:18
2013,4,20,8,36,19.0,9.89,4.964,0.0,2013-04-20 08:36:19
2013,4,20,8,36,20.0,9.933,4.224,0.0,2013-04-20 08:36:20
2013,4,20,8,36,21.0,9.975,3.482,0.0,2013-04-20 08:36:21
2013,4,20,8,36,22.0,10.017,2.739,0.0,2013-04-20 08:36:22
2013,4,20,8,36,23.0,10.058,1.995,0.0,2013-04-20 08:36:23
2013,4,20,8,36,24.0,10.1,1.25,0.0,2013-04-20 08:36:24
2013,4,20,8,36,25.0,10.141,0.505,0.0,2013-04-20 08:36:25
2013,4,20,8,36,26.0,10.183,-0.239,0.0,2013-04-20 08:36:26
2013,4,20,8,36,27.0,10.224,-0.984,0.0,2013-04-20 08:36:27
2013,4,20,8,36,28.0,10.265,-1.728,0.0,2013-04-20 08:36:28
2013,4,20,8,36,29.0,10.306,-2.471,0.0,2013-04-20 08:36:29
2013,4,20,8,36,30.0,10.346,-3.213,0.0,2013-04-20 08:36:30
2013,4,20,8,36,31.0,10.387,-3.953,0.0,2013-04-20 08:36:31
