task_id,start_time,end_time,window_length
0,2013-04-20 04:49:18,2013-04-20 04:52:43,205.5
1,2013-04-20 08:44:43,2013-04-20 08:47:51,187.7
2,2013-04-20 04:17:52,2013-04-20 04:17:58,6.2
4,2013-04-20 06:19:59,2013-04-20 06:23:20,200.8
4,2013-04-20 19:58:16,2013-04-20 20:00:55,159.5
5,2013-04-20 22:57:22,2013-04-20 23:00:07,165.1
6,2013-04-20 14:59:08,2013-04-20 15:02:29,200.8
7,2013-04-20 03:21:30,2013-04-20 03:24:55,204.4
8,2013-04-20 07:02:21,2013-04-20 07:05:13,171.1
8,2013-04-20 22:25:57,2013-04-20 22:28:39,161.3
9,2013-04-20 18:20:01,2013-04-20 18:22:44,162.6
10,2013-04-20 08:14:45,2013-04-20 08:17:35,169.7
10,2013-04-20 16:29:59,2013-04-20 16:33:19,199.3
12,2013-04-20 02:16:27,2013-04-20 02:19:22,175.6
13,2013-04-20 04:40:13,2013-04-20 04:43:16,182.8
13,2013-04-20 20:05:03,2013-04-20 20:07:42,158.5
14,2013-04-20 11:09:01,2013-04-20 11:12:21,200.0
14,2013-04-20 23:03:16,2013-04-20 23:06:46,210.6
15,2013-04-20 06:43:10,2013-04-20 06:47:04,234.4
15,2013-04-20 13:18:53,2013-04-20 13:22:18,204.9
16,2013-04-20 05:36:00,2013-04-20 05:36:47,47.3
16,2013-04-20 19:10:15,2013-04-20 19:12:54,159.1
17,2013-04-20 12:53:51,2013-04-20 12:57:11,200.2
17,2013-04-20 22:53:21,2013-04-20 22:56:28,186.5
18,2013-04-20 05:31:59,2013-04-20 05:35:15,196.4
18,2013-04-20 19:10:53,2013-04-20 19:14:11,197.8
19,2013-04-20 12:05:27,2013-04-20 12:09:06,218.5
19,2013-04-20 22:08:16,2013-04-20 22:11:27,190.5
20,2013-04-20 03:14:54,2013-04-20 03:18:02,187.7
21,2013-04-20 17:16:13,2013-04-20 17:19:59,225.8
22,2013-04-20 04:08:02,2013-04-20 04:10:40,157.4
24,2013-04-20 07:18:22,2013-04-20 07:19:03,41.2
24,2013-04-20 17:27:46,2013-04-20 17:29:00,74.2
25,2013-04-20 16:10:38,2013-04-20 16:13:34,175.3
25,2013-04-20 22:45:42,2013-04-20 22:48:26,164.1
26,2013-04-20 03:21:33,2013-04-20 03:25:11,218.0
27,2013-04-20 15:58:17,2013-04-20 16:02:06,229.5
28,2013-04-20 12:04:31,2013-04-20 12:05:45,73.8
29,2013-04-20 04:39:05,2013-04-20 04:42:05,180.3
29,2013-04-20 20:03:23,2013-04-20 20:07:03,219.4
30,2013-04-20 23:04:12,2013-04-20 23:06:57,165.4
31,2013-04-20 05:09:32,2013-04-20 05:13:23,230.7
31,2013-04-20 10:06:18,2013-04-20 10:09:41,202.7
32,2013-04-20 08:50:34,2013-04-20 08:53:25,170.8
32,2013-04-20 20:38:47,2013-04-20 20:39:33,46.4
34,2013-04-20 03:29:07,2013-04-20 03:30:41,94.1
34,2013-04-20 11:47:57,2013-04-20 11:50:45,168.0
35,2013-04-20 07:49:55,2013-04-20 07:52:33,158.0
35,2013-04-20 23:13:46,2013-04-20 23:16:22,156.6
36,2013-04-20 02:58:12,2013-04-20 03:01:38,205.3
36,2013-04-20 04:35:55,2013-04-20 04:36:41,46.3
36,2013-04-20 21:44:00,2013-04-20 21:46:43,163.4
38,2013-04-20 10:27:19,2013-04-20 10:30:32,192.6
39,2013-04-20 00:23:50,2013-04-20 00:26:43,173.4
39,2013-04-20 06:58:26,2013-04-20 07:01:11,165.3
41,2013-04-20 02:38:40,2013-04-20 02:41:22,161.6
41,2013-04-20 12:38:05,2013-04-20 12:38:28,23.2
42,2013-04-20 05:52:12,2013-04-20 05:54:49,157.1
42,2013-04-20 14:08:43,2013-04-20 14:11:32,168.7
43,2013-04-20 00:08:05,2013-04-20 00:11:01,175.5
43,2013-04-20 11:58:07,2013-04-20 12:00:44,157.8
44,2013-04-20 05:42:09,2013-04-20 05:44:44,155.1
45,2013-04-20 03:17:36,2013-04-20 03:20:17,160.5
45,2013-04-20 15:07:58,2013-04-20 15:10:34,155.9
46,2013-04-20 13:23:46,2013-04-20 13:27:05,198.4
48,2013-04-20 10:34:27,2013-04-20 10:37:25,177.9
48,2013-04-20 18:53:21,2013-04-20 18:57:03,221.5
49,2013-04-20 01:53:52,2013-04-20 01:56:38,166.8
49,2013-04-20 10:12:12,2013-04-20 10:15:27,195.2
50,2013-04-20 01:50:33,2013-04-20 01:53:13,159.9
50,2013-04-20 11:51:14,2013-04-20 11:54:13,179.8
