task_id,start_time,end_time,window_length,best_time
0,2013-04-20 20:50:32.797,2013-04-20 20:52:00.753,88.0,2013-04-20 20:51:16.775000
1,2013-04-20 09:04:54.125,2013-04-20 09:08:00.667,186.5,2013-04-20 09:06:27.396000
3,2013-04-20 15:36:19.022,2013-04-20 15:39:02.478,163.5,2013-04-20 15:37:40.750000
3,2013-04-20 22:10:18.615,2013-04-20 22:13:00.802,162.2,2013-04-20 22:11:39.708500
4,2013-04-20 20:47:16.769,2013-04-20 20:48:39.293,82.5,2013-04-20 20:47:58.031000
5,2013-04-20 14:01:14.614,2013-04-20 14:02:24.238,69.6,2013-04-20 14:01:49.426000
5,2013-04-20 20:36:49.592,2013-04-20 20:39:27.150,157.6,2013-04-20 20:38:08.371000
6,2013-04-20 00:23:33.979,2013-04-20 00:24:00.180,26.2,2013-04-20 00:23:47.079500
8,2013-04-20 22:20:46.717,2013-04-20 22:23:19.102,152.4,2013-04-20 22:22:02.909500
9,2013-04-20 13:56:45.508,2013-04-20 14:00:12.308,206.8,2013-04-20 13:58:28.908000
9,2013-04-20 22:14:32.496,2013-04-20 22:17:20.382,167.9,2013-04-20 22:15:56.439000
10,2013-04-20 10:47:33.107,2013-04-20 10:50:27.316,174.2,2013-04-20 10:49:00.211500
10,2013-04-20 19:04:53.690,2013-04-20 19:08:28.242,214.6,2013-04-20 19:06:40.966000
11,2013-04-20 20:48:19.557,2013-04-20 20:51:08.103,168.5,2013-04-20 20:49:43.830000
12,2013-04-20 10:48:18.333,2013-04-20 10:50:57.556,159.2,2013-04-20 10:49:37.944500
12,2013-04-20 19:04:11.070,2013-04-20 19:07:09.403,178.3,2013-04-20 19:05:40.236500
14,2013-04-20 12:17:09.252,2013-04-20 12:19:42.930,153.7,2013-04-20 12:18:26.091000
14,2013-04-20 22:18:40.361,2013-04-20 22:22:06.235,205.9,2013-04-20 22:20:23.298000
15,2013-04-20 20:36:30.563,2013-04-20 20:39:48.953,198.4,2013-04-20 20:38:09.758000
16,2013-04-20 12:23:09.376,2013-04-20 12:24:44.351,95.0,2013-04-20 12:23:56.863500
16,2013-04-20 20:40:08.813,2013-04-20 20:42:57.021,168.2,2013-04-20 20:41:32.917000
17,2013-04-20 00:19:34.930,2013-04-20 00:22:58.500,203.6,2013-04-20 00:21:16.715000
18,2013-04-20 13:55:29.307,2013-04-20 13:58:05.744,156.4,2013-04-20 13:56:47.525500
19,2013-04-20 10:43:11.838,2013-04-20 10:44:46.792,95.0,2013-04-20 10:43:59.315000
19,2013-04-20 20:45:19.286,2013-04-20 20:48:00.415,161.1,2013-04-20 20:46:39.850500
20,2013-04-20 13:56:45.576,2013-04-20 13:59:22.082,156.5,2013-04-20 13:58:03.829000
20,2013-04-20 22:13:24.479,2013-04-20 22:16:54.919,210.4,2013-04-20 22:15:09.699000
21,2013-04-20 00:17:55.762,2013-04-20 00:20:26.788,151.0,2013-04-20 00:19:11.275000
21,2013-04-20 13:51:17.366,2013-04-20 13:51:45.421,28.1,2013-04-20 13:51:31.393500
22,2013-04-20 13:57:58.016,2013-04-20 14:00:53.355,175.3,2013-04-20 13:59:25.685500
22,2013-04-20 22:14:02.597,2013-04-20 22:16:40.006,157.4,2013-04-20 22:15:21.301500
23,2013-04-20 00:21:43.972,2013-04-20 00:24:21.754,157.8,2013-04-20 00:23:02.863000
23,2013-04-20 12:11:59.861,2013-04-20 12:15:13.736,193.9,2013-04-20 12:13:36.798500
25,2013-04-20 12:16:03.737,2013-04-20 12:18:46.417,162.7,2013-04-20 12:17:25.077000
26,2013-04-20 12:26:11.577,2013-04-20 12:29:49.717,218.1,2013-04-20 12:28:00.647000
26,2013-04-20 14:03:53.639,2013-04-20 14:04:49.906,56.3,2013-04-20 14:04:21.772500
26,2013-04-20 18:59:49.666,2013-04-20 19:02:25.201,155.5,2013-04-20 19:01:07.433500
27,2013-04-20 10:46:02.745,2013-04-20 10:48:39.797,157.1,2013-04-20 10:47:21.271000
28,2013-04-20 10:37:51.307,2013-04-20 10:41:28.889,217.6,2013-04-20 10:39:40.098000
28,2013-04-20 22:23:34.673,2013-04-20 22:26:14.360,159.7,2013-04-20 22:24:54.516500
29,2013-04-20 12:18:10.229,2013-04-20 12:21:03.039,172.8,2013-04-20 12:19:36.634000
29,2013-04-20 22:19:10.515,2013-04-20 22:21:43.114,152.6,2013-04-20 22:20:26.814500
30,2013-04-20 20:47:22.539,2013-04-20 20:49:59.679,157.1,2013-04-20 20:48:41.109000
31,2013-04-20 12:23:08.023,2013-04-20 12:26:02.225,174.2,2013-04-20 12:24:35.124000
31,2013-04-20 20:39:39.979,2013-04-20 20:42:12.734,152.8,2013-04-20 20:40:56.356500
32,2013-04-20 12:12:44.961,2013-04-20 12:15:57.652,192.7,2013-04-20 12:14:21.306500
33,2013-04-20 00:21:35.488,2013-04-20 00:24:08.676,153.2,2013-04-20 00:22:52.082000
33,2013-04-20 12:14:06.883,2013-04-20 12:15:04.951,58.1,2013-04-20 12:14:35.917000
34,2013-04-20 12:15:05.597,2013-04-20 12:17:54.670,169.1,2013-04-20 12:16:30.133500
35,2013-04-20 20:40:39.927,2013-04-20 20:40:43.474,3.5,2013-04-20 20:40:41.700500
36,2013-04-20 14:01:54.277,2013-04-20 14:02:12.977,18.7,2013-04-20 14:02:03.627000
36,2013-04-20 20:36:39.568,2013-04-20 20:40:02.083,202.5,2013-04-20 20:38:20.825500
37,2013-04-20 09:05:36.236,2013-04-20 09:06:54.858,78.6,2013-04-20 09:06:15.547000
37,2013-04-20 20:49:09.128,2013-04-20 20:51:40.752,151.6,2013-04-20 20:50:24.940000
38,2013-04-20 14:02:09.378,2013-04-20 14:04:48.411,159.0,2013-04-20 14:03:28.894500
38,2013-04-20 20:35:06.193,2013-04-20 20:38:08.093,181.9,2013-04-20 20:36:37.143000
39,2013-04-20 15:35:18.764,2013-04-20 15:39:00.421,221.7,2013-04-20 15:37:09.592500
39,2013-04-20 22:11:05.293,2013-04-20 22:13:41.827,156.5,2013-04-20 22:12:23.560000
40,2013-04-20 12:15:21.781,2013-04-20 12:18:42.237,200.5,2013-04-20 12:17:02.009000
41,2013-04-20 14:01:37.413,2013-04-20 14:04:34.976,177.6,2013-04-20 14:03:06.194500
41,2013-04-20 20:34:48.500,2013-04-20 20:37:31.947,163.4,2013-04-20 20:36:10.223500
