new_task_id,old_task_id
0,2
1,22
2,31
3,41
4,59
5,80
6,110
7,114
8,126
9,131
10,139
11,154
12,155
13,163
14,165
15,167
16,169
17,180
18,182
19,194
20,197
21,203
22,207
23,209
24,210
25,213
26,226
27,233
28,240
29,258
30,260
31,263
32,289
33,290
34,298
35,307
36,330
37,342
38,348
39,357
40,364
41,369
42,377
43,392
44,393
45,401
46,405
47,429
48,430
49,440
50,441
51,459
52,462
53,476
54,485
55,510
56,520
57,532
58,549
59,553
60,555
61,598
62,646
63,650
64,680
65,682
66,692
67,701
68,711
69,714
70,717
71,725
72,736
73,755
74,756
75,760
76,766
77,768
78,777
79,780
80,785
81,799
82,812
83,823
84,837
85,842
86,865
87,885
88,899
89,921
90,943
91,946
92,948
93,953
94,958
95,963
96,981
97,984
98,993
99,996
