task_id,latitude,longitude,profit,duration,extra_attr
0,46.0141,89.4837,6.0,19.0,7.0
1,27.2428,88.8339,5.0,24.0,8.0
2,32.1887,129.1487,1.0,27.0,8.0
3,10.5476,97.9131,4.0,27.0,6.0
4,38.3681,89.3115,2.0,26.0,7.0
5,10.4563,74.9644,4.0,19.0,9.0
6,41.2015,79.171,8.0,26.0,6.0
7,15.2556,105.8367,1.0,15.0,7.0
8,42.0163,96.9386,2.0,28.0,8.0
9,18.9718,99.9637,10.0,27.0,7.0
10,43.1257,98.8311,7.0,20.0,7.0
11,32.4211,104.0224,9.0,28.0,5.0
12,25.6058,130.6241,4.0,25.0,5.0
13,27.0462,82.5267,3.0,22.0,8.0
14,33.1837,94.7777,1.0,21.0,5.0
15,18.4192,96.045,5.0,17.0,7.0
16,37.9866,86.585,1.0,27.0,6.0
17,19.6756,115.1825,9.0,20.0,7.0
18,39.4036,111.4331,5.0,29.0,5.0
19,43.9962,114.7798,7.0,28.0,6.0
20,11.0328,129.8165,6.0,17.0,6.0
21,24.9776,132.4442,10.0,18.0,5.0
22,13.2169,95.1113,5.0,22.0,5.0
23,14.2849,80.3541,7.0,20.0,5.0
24,41.8942,122.2315,10.0,29.0,5.0
25,51.1561,95.5766,4.0,20.0,7.0
26,33.6027,103.0839,6.0,26.0,9.0
27,40.6396,76.3808,9.0,21.0,6.0
28,20.1388,99.3341,5.0,19.0,5.0
29,20.9774,82.3518,3.0,29.0,7.0
30,37.8678,90.8885,5.0,26.0,7.0
31,20.0066,131.6911,8.0,29.0,5.0
32,6.1638,111.0735,1.0,27.0,7.0
33,38.147,108.146,9.0,23.0,5.0
34,11.4676,113.8992,9.0,16.0,8.0
35,19.949,103.3717,6.0,28.0,9.0
36,43.363,97.0214,10.0,28.0,9.0
37,18.6957,116.5747,9.0,19.0,5.0
38,41.7303,77.2256,6.0,20.0,6.0
39,38.4108,110.6496,4.0,28.0,5.0
40,41.6891,107.6288,6.0,27.0,7.0
41,3.7852,85.4652,3.0,16.0,9.0
42,44.6969,75.9635,4.0,15.0,5.0
43,36.146,117.2487,3.0,27.0,7.0
44,51.8347,88.5327,6.0,21.0,7.0
45,7.9463,90.8189,1.0,27.0,6.0
46,38.5743,110.2515,9.0,26.0,6.0
47,14.5057,105.4633,3.0,19.0,8.0
48,8.308,109.0369,9.0,21.0,8.0
49,39.2607,74.2535,8.0,19.0,5.0
50,51.5369,121.6945,8.0,20.0,7.0
51,28.7452,82.9728,6.0,19.0,7.0
52,38.9361,96.4979,2.0,28.0,5.0
53,13.654,89.7331,7.0,24.0,9.0
54,9.0932,98.6667,10.0,16.0,8.0
55,21.804,122.2443,5.0,24.0,9.0
56,6.9017,132.2455,4.0,26.0,7.0
57,47.9955,89.0164,9.0,17.0,9.0
58,6.195,87.6616,7.0,27.0,7.0
59,38.7264,116.7865,2.0,21.0,5.0
60,25.3165,94.7752,6.0,21.0,5.0
61,30.148,115.1956,7.0,25.0,5.0
62,37.7082,104.4316,2.0,21.0,5.0
63,39.5648,110.4099,2.0,20.0,5.0
64,50.307,78.9338,8.0,27.0,5.0
65,46.8752,109.501,10.0,23.0,7.0
66,35.3152,97.7467,8.0,23.0,6.0
67,38.7557,105.7385,10.0,25.0,9.0
68,12.8326,106.7541,4.0,15.0,8.0
69,30.002,120.4114,10.0,25.0,7.0
70,7.5515,95.9147,5.0,18.0,6.0
71,20.3717,104.7028,6.0,18.0,5.0
72,49.7305,79.8149,8.0,18.0,6.0
73,17.086,130.742,6.0,16.0,5.0
74,12.2827,127.4315,4.0,21.0,8.0
75,22.1786,75.8692,6.0,18.0,5.0
76,7.3658,127.4379,4.0,17.0,5.0
77,16.2196,81.75,7.0,19.0,8.0
78,12.3367,89.7514,6.0,23.0,5.0
79,7.1535,93.6756,5.0,25.0,5.0
80,31.8836,113.2929,8.0,22.0,5.0
81,12.1919,129.8246,3.0,22.0,8.0
82,17.9807,92.5134,2.0,16.0,8.0
83,4.3656,128.897,7.0,17.0,8.0
84,9.7943,114.6355,3.0,20.0,8.0
85,48.3233,91.6269,3.0,18.0,6.0
86,4.949,95.7148,6.0,16.0,7.0
87,23.7884,96.9434,9.0,17.0,9.0
88,18.8658,113.5419,5.0,23.0,7.0
89,46.0755,84.3876,3.0,28.0,7.0
90,10.5726,83.8697,4.0,29.0,9.0
91,47.1874,92.6546,6.0,28.0,9.0
92,46.6694,114.5695,4.0,16.0,5.0
93,49.0517,85.4623,2.0,24.0,9.0
94,34.4128,118.6931,3.0,20.0,6.0
95,26.0094,80.6427,10.0,26.0,6.0
96,38.8336,99.4627,4.0,25.0,5.0
97,45.8909,99.1075,4.0,19.0,9.0
98,7.4095,103.3299,10.0,20.0,7.0
99,34.2246,108.4869,6.0,20.0,7.0
100,35.6902,106.6537,4.0,29.0,6.0
101,22.495,122.5646,8.0,25.0,9.0
102,40.8185,107.8595,2.0,23.0,7.0
