task_id,latitude,longitude,profit,duration,extra_attr
0,-6.6723,-173.7038,10.0,25.0,9
1,15.7803,-50.9425,10.0,19.0,9
2,-34.3469,38.1726,1.0,22.0,8
3,3.9967,-81.0068,8.0,21.0,9
4,-20.0112,155.026,1.0,16.0,5
5,15.4928,91.5661,5.0,27.0,5
6,26.1437,-161.0605,1.0,24.0,7
7,16.1562,-138.1099,4.0,22.0,9
8,37.3269,-47.9658,2.0,27.0,8
9,-8.738,172.604,9.0,19.0,5
10,42.376,171.3333,7.0,19.0,5
11,0.6811,158.6541,7.0,24.0,6
12,41.8191,18.6508,4.0,16.0,9
13,-39.9235,172.466,4.0,28.0,7
14,-8.3377,97.4882,2.0,23.0,9
15,47.1121,-145.4544,3.0,20.0,5
16,17.6706,-13.6269,1.0,25.0,7
17,28.6955,85.3925,2.0,22.0,9
18,22.4414,-14.2934,9.0,16.0,7
19,-21.1648,-77.7405,3.0,29.0,6
20,-6.5196,-148.6995,8.0,27.0,5
21,-39.3288,-30.6776,2.0,22.0,9
22,-9.4906,31.4612,7.0,22.0,6
23,-7.1685,131.967,7.0,22.0,8
24,-12.0668,-10.0947,6.0,28.0,7
25,48.8709,58.6995,5.0,15.0,7
26,17.0023,-138.3201,10.0,29.0,7
27,8.4543,35.2606,6.0,25.0,6
28,-15.2716,-92.1177,10.0,24.0,6
29,-39.8222,164.3004,5.0,25.0,9
30,-7.0217,103.1131,9.0,18.0,9
31,49.4527,-116.6738,4.0,19.0,7
32,-3.6126,-42.1775,3.0,28.0,9
33,-21.7631,47.1143,1.0,16.0,9
34,35.4492,-113.2282,1.0,16.0,8
35,-37.9433,121.8082,3.0,23.0,5
36,-52.5064,162.5277,3.0,17.0,8
37,39.6412,133.2139,6.0,16.0,5
38,-10.1917,-61.4421,6.0,16.0,5
39,50.1473,-58.9845,6.0,25.0,6
40,-0.6948,131.4416,2.0,28.0,9
41,-26.6823,66.0849,10.0,22.0,8
42,-39.413,27.5005,3.0,16.0,6
43,1.5321,-95.8809,3.0,16.0,7
44,-7.9872,5.467,2.0,15.0,6
45,0.5405,-142.9533,7.0,29.0,6
46,32.4244,-132.3885,3.0,19.0,5
47,-38.2086,-153.2685,8.0,19.0,9
48,-32.8171,-47.6373,3.0,22.0,9
49,34.7109,-95.6385,5.0,26.0,9
50,25.3789,-104.9468,1.0,19.0,5
51,50.6955,119.9184,8.0,24.0,5
52,-37.5905,88.6415,5.0,19.0,7
53,52.568,-79.613,5.0,15.0,7
54,-6.3389,144.2102,1.0,19.0,5
55,-46.9606,-165.493,10.0,17.0,8
56,-24.2993,-58.472,9.0,29.0,6
57,10.3253,122.9052,5.0,16.0,6
58,-20.5179,-22.9779,9.0,17.0,6
59,-5.9171,-149.9276,2.0,15.0,7
60,5.1525,-113.144,5.0,18.0,9
61,35.917,140.6498,6.0,17.0,6
62,46.424,53.6552,7.0,27.0,6
63,32.6262,89.926,2.0,16.0,9
64,-36.6207,-126.8206,9.0,25.0,8
65,-52.5732,79.4807,8.0,29.0,5
66,50.1847,172.5334,6.0,26.0,6
67,-43.9846,-143.4077,3.0,17.0,8
68,21.9118,72.6596,7.0,28.0,8
69,16.6836,25.2552,9.0,27.0,5
70,20.6047,-177.5077,4.0,17.0,8
71,-10.5059,-6.9006,4.0,22.0,5
72,-40.4856,150.2955,6.0,16.0,8
73,48.6225,146.6967,7.0,23.0,5
74,21.8518,39.3163,2.0,21.0,6
75,-5.0149,-94.3826,2.0,15.0,9
76,-7.0094,129.201,2.0,27.0,8
77,49.4508,124.0381,9.0,16.0,9
78,11.0472,30.7899,9.0,15.0,5
79,30.6581,34.1794,6.0,17.0,5
80,26.4896,-178.1808,10.0,27.0,5
81,-43.9717,24.2434,7.0,27.0,7
82,-35.7155,-9.339,9.0,25.0,9
83,-25.5281,-146.0453,2.0,20.0,9
84,-40.8998,108.1548,8.0,23.0,5
85,-40.2141,16.5067,6.0,20.0,8
86,37.9211,-162.6554,4.0,29.0,9
87,-7.5451,-169.8593,4.0,26.0,5
88,-10.6875,175.4951,8.0,23.0,5
89,-39.203,150.3372,8.0,16.0,9
90,20.6603,-104.4247,3.0,19.0,6
91,47.644,-27.2697,8.0,25.0,7
92,4.1679,-108.6037,5.0,16.0,6
93,-40.8225,-2.4515,1.0,25.0,7
94,-28.514,-67.79,8.0,19.0,5
95,-39.5734,-98.4411,4.0,21.0,7
96,-31.4801,-22.1471,4.0,21.0,7
97,15.6684,97.9833,7.0,24.0,5
98,-52.5157,-56.6109,5.0,18.0,8
99,-31.7097,135.8803,2.0,20.0,5
