开始 s5_t100 / mode_sdas_adaptive_subspace，时间：2026-05-25T01:27:01
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + Adaptive Subspace

========== MODE-SDAS + Adaptive Subspace Run 1/8 ==========
Init: HV=0.2939, feasible ratio=0.82, Nsub=21
Gen   1: profit_max=76.00, profit_avg=33.28, load_min=0.00, att_min=0.00, quality_max=94.48, quality_avg=39.17, tasks_avg=6.35, HV=0.5702, feasible ratio=1.00, Nsub=21
Gen   2: profit_max=114.00, profit_avg=51.93, load_min=0.00, att_min=0.00, quality_max=135.73, quality_avg=61.35, tasks_avg=9.94, HV=0.4196, feasible ratio=1.00, Nsub=21
Gen   3: profit_max=154.00, profit_avg=65.32, load_min=0.00, att_min=0.00, quality_max=189.27, quality_avg=75.98, tasks_avg=12.24, HV=0.4440, feasible ratio=1.00, Nsub=21
Gen   4: profit_max=172.00, profit_avg=71.97, load_min=0.00, att_min=0.00, quality_max=189.27, quality_avg=82.17, tasks_avg=13.40, HV=0.4417, feasible ratio=1.00, Nsub=21
Gen   5: profit_max=209.00, profit_avg=79.44, load_min=0.00, att_min=0.00, quality_max=219.96, quality_avg=89.63, tasks_avg=14.67, HV=0.4143, feasible ratio=1.00, Nsub=21
Gen   6: profit_max=209.00, profit_avg=85.03, load_min=0.00, att_min=0.00, quality_max=243.11, quality_avg=95.37, tasks_avg=15.59, HV=0.3978, feasible ratio=1.00, Nsub=21
Gen   7: profit_max=234.00, profit_avg=89.65, load_min=0.00, att_min=0.00, quality_max=243.11, quality_avg=99.14, tasks_avg=16.35, HV=0.3647, feasible ratio=1.00, Nsub=21
Gen   8: profit_max=234.00, profit_avg=94.84, load_min=0.00, att_min=0.00, quality_max=243.11, quality_avg=103.88, tasks_avg=17.23, HV=0.4018, feasible ratio=1.00, Nsub=21
Gen   9: profit_max=234.00, profit_avg=99.78, load_min=0.00, att_min=0.00, quality_max=249.37, quality_avg=107.68, tasks_avg=18.01, HV=0.4076, feasible ratio=1.00, Nsub=21
Gen  10: profit_max=241.00, profit_avg=102.09, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=110.47, tasks_avg=18.39, HV=0.3910, feasible ratio=1.00, Nsub=21
Gen  11: profit_max=241.00, profit_avg=101.62, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=109.83, tasks_avg=18.20, HV=0.4141, feasible ratio=1.00, Nsub=21
Gen  12: profit_max=241.00, profit_avg=103.83, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=112.01, tasks_avg=18.57, HV=0.4145, feasible ratio=1.00, Nsub=21
Gen  13: profit_max=241.00, profit_avg=103.87, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=111.81, tasks_avg=18.53, HV=0.4153, feasible ratio=1.00, Nsub=21
Gen  14: profit_max=241.00, profit_avg=103.58, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=112.12, tasks_avg=18.54, HV=0.4117, feasible ratio=1.00, Nsub=21
Gen  15: profit_max=241.00, profit_avg=107.84, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=117.21, tasks_avg=19.36, HV=0.4116, feasible ratio=1.00, Nsub=21
Gen  16: profit_max=241.00, profit_avg=109.31, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=118.50, tasks_avg=19.58, HV=0.4080, feasible ratio=1.00, Nsub=21
Gen  17: profit_max=241.00, profit_avg=110.38, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=118.29, tasks_avg=19.64, HV=0.4145, feasible ratio=1.00, Nsub=21
Gen  18: profit_max=241.00, profit_avg=109.67, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=117.60, tasks_avg=19.50, HV=0.4283, feasible ratio=1.00, Nsub=21
Gen  19: profit_max=241.00, profit_avg=109.46, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=116.71, tasks_avg=19.41, HV=0.4249, feasible ratio=1.00, Nsub=21
Gen  20: profit_max=241.00, profit_avg=109.74, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=117.56, tasks_avg=19.44, HV=0.4363, feasible ratio=1.00, Nsub=21
Gen  21: profit_max=241.00, profit_avg=109.57, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=116.83, tasks_avg=19.36, HV=0.4365, feasible ratio=1.00, Nsub=21
Gen  22: profit_max=241.00, profit_avg=110.33, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=117.48, tasks_avg=19.53, HV=0.4378, feasible ratio=1.00, Nsub=21
Gen  23: profit_max=241.00, profit_avg=110.37, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=117.73, tasks_avg=19.49, HV=0.4393, feasible ratio=1.00, Nsub=21
Gen  24: profit_max=241.00, profit_avg=110.11, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=117.37, tasks_avg=19.39, HV=0.4392, feasible ratio=1.00, Nsub=21
Gen  25: profit_max=241.00, profit_avg=110.10, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=117.37, tasks_avg=19.39, HV=0.4392, feasible ratio=1.00, Nsub=21
Gen  26: profit_max=241.00, profit_avg=109.52, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=117.09, tasks_avg=19.32, HV=0.4371, feasible ratio=1.00, Nsub=12
Gen  27: profit_max=241.00, profit_avg=109.48, load_min=0.00, att_min=0.00, quality_max=261.82, quality_avg=116.99, tasks_avg=19.26, HV=0.4365, feasible ratio=1.00, Nsub=12
Gen  28: profit_max=246.00, profit_avg=110.07, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=117.93, tasks_avg=19.30, HV=0.4240, feasible ratio=1.00, Nsub=12
