å¼€å§‹ s5_t100 / mode_sdas_dpicï¼Œæ—¶é—´ï¼š2026-05-25T04:41:58
å‘½ä»¤ F:\Anaconda\python.exe -u main.py


ÔËÐÐËã·¨£ºMODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.0000, feasible ratio=0.00
Gen   1: profit_max=503.00, profit_avg=452.57, load_min=626.96, att_min=3586.05, quality_max=604.11, quality_avg=495.08, tasks_avg=84.34, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   2: profit_max=510.00, profit_avg=453.51, load_min=626.96, att_min=3406.93, quality_max=604.11, quality_avg=492.28, tasks_avg=84.49, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   3: profit_max=510.00, profit_avg=452.15, load_min=1006.96, att_min=3529.09, quality_max=579.66, quality_avg=487.46, tasks_avg=84.35, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   4: profit_max=510.00, profit_avg=451.89, load_min=468.56, att_min=3529.09, quality_max=579.66, quality_avg=482.91, tasks_avg=84.16, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   5: profit_max=510.00, profit_avg=449.90, load_min=468.56, att_min=3529.09, quality_max=579.66, quality_avg=480.02, tasks_avg=83.94, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   6: profit_max=510.00, profit_avg=450.89, load_min=468.56, att_min=3438.76, quality_max=579.66, quality_avg=481.16, tasks_avg=83.96, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   7: profit_max=510.00, profit_avg=449.68, load_min=468.56, att_min=3438.76, quality_max=579.66, quality_avg=475.51, tasks_avg=83.74, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   8: profit_max=510.00, profit_avg=450.69, load_min=468.56, att_min=3438.76, quality_max=579.66, quality_avg=478.58, tasks_avg=83.97, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   9: profit_max=510.00, profit_avg=450.39, load_min=468.56, att_min=3438.76, quality_max=579.66, quality_avg=478.17, tasks_avg=83.98, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  10: profit_max=511.00, profit_avg=449.53, load_min=468.56, att_min=3438.76, quality_max=581.71, quality_avg=472.28, tasks_avg=83.78, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  11: profit_max=511.00, profit_avg=449.70, load_min=607.76, att_min=3438.76, quality_max=581.71, quality_avg=470.74, tasks_avg=83.73, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  12: profit_max=511.00, profit_avg=449.77, load_min=482.24, att_min=3438.76, quality_max=581.71, quality_avg=467.24, tasks_avg=83.86, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  13: profit_max=511.00, profit_avg=449.61, load_min=482.24, att_min=3529.09, quality_max=581.71, quality_avg=470.63, tasks_avg=83.87, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  14: profit_max=511.00, profit_avg=448.93, load_min=482.24, att_min=3529.09, quality_max=581.71, quality_avg=470.88, tasks_avg=83.81, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  15: profit_max=511.00, profit_avg=448.22, load_min=482.24, att_min=3529.09, quality_max=581.71, quality_avg=471.39, tasks_avg=83.66, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  16: profit_max=510.00, profit_avg=445.92, load_min=194.56, att_min=3423.67, quality_max=579.66, quality_avg=468.15, tasks_avg=83.32, HV=0.0000, feasible ratio=0.00, Nsub=21
