开始 s5_t100 / mode_sdas_dpic_only，时间：2026-05-25T02:30:24
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + DPIC only

========== MODE-SDAS + DPIC only Run 1/8 ==========
Init: HV=0.5494, feasible ratio=0.73
Gen   1: profit_max=87.00, profit_avg=28.91, load_min=0.00, att_min=0.00, quality_max=104.93, quality_avg=34.14, tasks_avg=5.49, HV=0.4032, feasible ratio=1.00, Nsub=21
Gen   2: profit_max=116.00, profit_avg=49.23, load_min=0.00, att_min=0.00, quality_max=130.56, quality_avg=57.56, tasks_avg=9.10, HV=0.4255, feasible ratio=1.00, Nsub=21
Gen   3: profit_max=138.00, profit_avg=59.80, load_min=0.00, att_min=0.00, quality_max=158.08, quality_avg=67.16, tasks_avg=10.83, HV=0.4894, feasible ratio=1.00, Nsub=21
Gen   4: profit_max=166.00, profit_avg=64.65, load_min=0.00, att_min=0.00, quality_max=208.68, quality_avg=73.06, tasks_avg=11.59, HV=0.3430, feasible ratio=1.00, Nsub=21
Gen   5: profit_max=166.00, profit_avg=69.11, load_min=0.00, att_min=0.00, quality_max=208.68, quality_avg=78.77, tasks_avg=12.31, HV=0.3720, feasible ratio=1.00, Nsub=21
Gen   6: profit_max=187.00, profit_avg=79.10, load_min=0.00, att_min=0.00, quality_max=218.70, quality_avg=88.85, tasks_avg=14.03, HV=0.3715, feasible ratio=1.00, Nsub=21
Gen   7: profit_max=187.00, profit_avg=78.06, load_min=0.00, att_min=0.00, quality_max=218.70, quality_avg=86.85, tasks_avg=13.79, HV=0.4489, feasible ratio=1.00, Nsub=21
Gen   8: profit_max=222.00, profit_avg=81.31, load_min=0.00, att_min=0.00, quality_max=218.70, quality_avg=90.24, tasks_avg=14.36, HV=0.4724, feasible ratio=1.00, Nsub=21
Gen   9: profit_max=222.00, profit_avg=84.60, load_min=0.00, att_min=0.00, quality_max=218.70, quality_avg=93.77, tasks_avg=15.00, HV=0.4774, feasible ratio=1.00, Nsub=21
Gen  10: profit_max=222.00, profit_avg=88.25, load_min=0.00, att_min=0.00, quality_max=218.70, quality_avg=97.19, tasks_avg=15.55, HV=0.4922, feasible ratio=1.00, Nsub=21
Gen  11: profit_max=236.00, profit_avg=90.21, load_min=0.00, att_min=0.00, quality_max=246.84, quality_avg=99.60, tasks_avg=15.92, HV=0.4479, feasible ratio=1.00, Nsub=21
Gen  12: profit_max=236.00, profit_avg=91.19, load_min=0.00, att_min=0.00, quality_max=246.84, quality_avg=100.04, tasks_avg=16.04, HV=0.4531, feasible ratio=1.00, Nsub=21
Gen  13: profit_max=249.00, profit_avg=96.68, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=105.44, tasks_avg=16.96, HV=0.4548, feasible ratio=1.00, Nsub=21
Gen  14: profit_max=249.00, profit_avg=100.46, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=108.48, tasks_avg=17.64, HV=0.4612, feasible ratio=1.00, Nsub=21
Gen  15: profit_max=249.00, profit_avg=103.25, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=111.60, tasks_avg=18.09, HV=0.4686, feasible ratio=1.00, Nsub=21
Gen  16: profit_max=253.00, profit_avg=109.51, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=116.63, tasks_avg=19.12, HV=0.4838, feasible ratio=1.00, Nsub=21
Gen  17: profit_max=253.00, profit_avg=110.59, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=117.91, tasks_avg=19.33, HV=0.4836, feasible ratio=1.00, Nsub=21
Gen  18: profit_max=253.00, profit_avg=111.06, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=118.73, tasks_avg=19.41, HV=0.4813, feasible ratio=1.00, Nsub=21
Gen  19: profit_max=253.00, profit_avg=111.46, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=119.16, tasks_avg=19.49, HV=0.4811, feasible ratio=1.00, Nsub=21
Gen  20: profit_max=253.00, profit_avg=112.78, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=120.58, tasks_avg=19.66, HV=0.5032, feasible ratio=1.00, Nsub=21
Gen  21: profit_max=253.00, profit_avg=112.38, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=120.09, tasks_avg=19.59, HV=0.5026, feasible ratio=1.00, Nsub=21
Gen  22: profit_max=253.00, profit_avg=111.67, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=119.15, tasks_avg=19.47, HV=0.5006, feasible ratio=1.00, Nsub=21
Gen  23: profit_max=253.00, profit_avg=109.68, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=117.17, tasks_avg=19.22, HV=0.5004, feasible ratio=1.00, Nsub=21
Gen  24: profit_max=253.00, profit_avg=111.26, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=118.86, tasks_avg=19.43, HV=0.5009, feasible ratio=1.00, Nsub=21
Gen  25: profit_max=253.00, profit_avg=113.11, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=120.93, tasks_avg=19.66, HV=0.5085, feasible ratio=1.00, Nsub=21
Gen  26: profit_max=253.00, profit_avg=112.24, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=119.94, tasks_avg=19.53, HV=0.5114, feasible ratio=1.00, Nsub=21
Gen  27: profit_max=253.00, profit_avg=113.38, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=121.89, tasks_avg=19.81, HV=0.5109, feasible ratio=1.00, Nsub=21
Gen  28: profit_max=253.00, profit_avg=113.73, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=121.74, tasks_avg=19.81, HV=0.5135, feasible ratio=1.00, Nsub=21
Gen  29: profit_max=253.00, profit_avg=115.48, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=125.07, tasks_avg=20.09, HV=0.5168, feasible ratio=1.00, Nsub=21
Gen  30: profit_max=253.00, profit_avg=115.54, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=125.10, tasks_avg=20.14, HV=0.5166, feasible ratio=1.00, Nsub=21
Gen  31: profit_max=253.00, profit_avg=115.63, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=125.17, tasks_avg=20.09, HV=0.5156, feasible ratio=1.00, Nsub=21
Gen  32: profit_max=253.00, profit_avg=114.55, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=123.98, tasks_avg=19.90, HV=0.5096, feasible ratio=1.00, Nsub=21
Gen  33: profit_max=253.00, profit_avg=115.36, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=125.02, tasks_avg=20.07, HV=0.5097, feasible ratio=1.00, Nsub=21
Gen  34: profit_max=253.00, profit_avg=109.29, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=119.65, tasks_avg=19.00, HV=0.5178, feasible ratio=1.00, Nsub=21
Gen  35: profit_max=253.00, profit_avg=107.64, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=118.33, tasks_avg=18.69, HV=0.5162, feasible ratio=1.00, Nsub=21
Gen  36: profit_max=253.00, profit_avg=108.44, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=119.90, tasks_avg=18.90, HV=0.5163, feasible ratio=1.00, Nsub=21
Gen  37: profit_max=253.00, profit_avg=107.15, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=118.53, tasks_avg=18.69, HV=0.5158, feasible ratio=1.00, Nsub=21
Gen  38: profit_max=253.00, profit_avg=108.96, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=121.18, tasks_avg=19.09, HV=0.5162, feasible ratio=1.00, Nsub=21
Gen  39: profit_max=253.00, profit_avg=106.94, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=119.35, tasks_avg=18.78, HV=0.5168, feasible ratio=1.00, Nsub=21
