ÂºÄÂßã s5_t100 / mode_sdasÔºåÊó∂Èó¥Ôºö2026-05-25T07:31:39
ÂëΩ‰ª§ F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS

========== MODE-SDAS Run 1/8 ==========
Init: HV=0.5651, feasible ratio=0.80
Gen   1: profit_max=   60.00, profit_avg=   22.29, load_min=      0.00, att_min=      0.00, quality_max=     80.96, quality_avg=     31.15, tasks_avg=  4.88, HV=0.4824, feasible ratio=1.00
Gen   2: profit_max=   98.00, profit_avg=   38.24, load_min=      0.00, att_min=      0.00, quality_max=    134.63, quality_avg=     50.83, tasks_avg=  8.15, HV=0.3907, feasible ratio=1.00
Gen   3: profit_max=  139.00, profit_avg=   53.96, load_min=      0.00, att_min=      0.00, quality_max=    181.81, quality_avg=     70.11, tasks_avg= 11.63, HV=0.4685, feasible ratio=1.00
Gen   4: profit_max=  142.00, profit_avg=   58.75, load_min=      0.00, att_min=      0.00, quality_max=    184.83, quality_avg=     75.82, tasks_avg= 12.50, HV=0.5351, feasible ratio=1.00
Gen   5: profit_max=  168.00, profit_avg=   64.87, load_min=      0.00, att_min=      0.00, quality_max=    197.67, quality_avg=     84.05, tasks_avg= 13.85, HV=0.4407, feasible ratio=1.00
Gen   6: profit_max=  168.00, profit_avg=   80.89, load_min=      0.00, att_min=      0.00, quality_max=    216.86, quality_avg=    102.62, tasks_avg= 16.90, HV=0.4471, feasible ratio=1.00
Gen   7: profit_max=  168.00, profit_avg=   80.75, load_min=      0.00, att_min=      0.00, quality_max=    216.86, quality_avg=    102.81, tasks_avg= 16.78, HV=0.4677, feasible ratio=1.00
Gen   8: profit_max=  194.00, profit_avg=   85.13, load_min=      0.00, att_min=      0.00, quality_max=    216.86, quality_avg=    107.43, tasks_avg= 17.53, HV=0.4973, feasible ratio=1.00
Gen   9: profit_max=  201.00, profit_avg=   89.60, load_min=      0.00, att_min=      0.00, quality_max=    232.54, quality_avg=    112.18, tasks_avg= 18.29, HV=0.4969, feasible ratio=1.00
Gen  10: profit_max=  215.00, profit_avg=   90.18, load_min=      0.00, att_min=      0.00, quality_max=    238.57, quality_avg=    112.22, tasks_avg= 18.18, HV=0.4727, feasible ratio=1.00
Gen  11: profit_max=  221.00, profit_avg=   93.92, load_min=      0.00, att_min=      0.00, quality_max=    238.57, quality_avg=    115.48, tasks_avg= 18.82, HV=0.4696, feasible ratio=1.00
Gen  12: profit_max=  221.00, profit_avg=   95.52, load_min=      0.00, att_min=      0.00, quality_max=    245.51, quality_avg=    117.40, tasks_avg= 19.08, HV=0.4718, feasible ratio=1.00
Gen  13: profit_max=  221.00, profit_avg=   99.22, load_min=      0.00, att_min=      0.00, quality_max=    245.51, quality_avg=    120.83, tasks_avg= 19.64, HV=0.4761, feasible ratio=1.00
Gen  14: profit_max=  221.00, profit_avg=  103.09, load_min=      0.00, att_min=      0.00, quality_max=    290.87, quality_avg=    124.69, tasks_avg= 20.33, HV=0.4407, feasible ratio=1.00
Gen  15: profit_max=  221.00, profit_avg=  105.37, load_min=      0.00, att_min=      0.00, quality_max=    290.87, quality_avg=    127.37, tasks_avg= 20.69, HV=0.4389, feasible ratio=1.00
Gen  16: profit_max=  223.00, profit_avg=  108.31, load_min=      0.00, att_min=      0.00, quality_max=    290.87, quality_avg=    130.88, tasks_avg= 21.26, HV=0.4362, feasible ratio=1.00
Gen  17: profit_max=  254.00, profit_avg=  104.91, load_min=      0.00, att_min=      0.00, quality_max=    308.49, quality_avg=    127.28, tasks_avg= 20.63, HV=0.3730, feasible ratio=1.00
Gen  18: profit_max=  254.00, profit_avg=  104.73, load_min=      0.00, att_min=      0.00, quality_max=    308.49, quality_avg=    126.96, tasks_avg= 20.61, HV=0.3741, feasible ratio=1.00
Gen  19: profit_max=  254.00, profit_avg=  108.21, load_min=      0.00, att_min=      0.00, quality_max=    308.49, quality_avg=    130.37, tasks_avg= 21.16, HV=0.3773, feasible ratio=1.00
Gen  20: profit_max=  254.00, profit_avg=  117.42, load_min=      0.00, att_min=      0.00, quality_max=    308.49, quality_avg=    140.05, tasks_avg= 22.74, HV=0.3781, feasible ratio=1.00
Gen  21: profit_max=  279.00, profit_avg=  119.89, load_min=      0.00, att_min=      0.00, quality_max=    308.49, quality_avg=    141.75, tasks_avg= 23.22, HV=0.4174, feasible ratio=1.00
Gen  22: profit_max=  279.00, profit_avg=  121.43, load_min=      0.00, att_min=      0.00, quality_max=    308.49, quality_avg=    142.49, tasks_avg= 23.37, HV=0.4224, feasible ratio=1.00
