ÂºÄÂßã s5_t100 / nsga2ÔºåÊó∂Èó¥Ôºö2026-05-25T18:28:55
ÂëΩ‰ª§ F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫NSGA-II

========== NSGA-II Run 1/8 ==========
ø™ º‘À–– pymoo NSGA-II ...
Gen   1: profit_max=36.00, profit_avg=13.29, load_min=0.00, att_min=0.00, quality_max=40.95, quality_avg=16.09, HV=0.7712, feasible ratio=0.76
Gen   2: profit_max=43.00, profit_avg=17.67, load_min=0.00, att_min=0.00, quality_max=46.41, quality_avg=21.16, HV=0.7464, feasible ratio=1.00
Gen   3: profit_max=55.00, profit_avg=23.00, load_min=0.00, att_min=0.00, quality_max=59.65, quality_avg=27.37, HV=0.5617, feasible ratio=1.00
Gen   4: profit_max=59.00, profit_avg=27.88, load_min=0.00, att_min=0.00, quality_max=78.46, quality_avg=32.94, HV=0.5081, feasible ratio=1.00
Gen   5: profit_max=70.00, profit_avg=31.41, load_min=0.00, att_min=0.00, quality_max=91.85, quality_avg=37.20, HV=0.4966, feasible ratio=1.00
Gen   6: profit_max=77.00, profit_avg=34.58, load_min=0.00, att_min=0.00, quality_max=91.85, quality_avg=41.19, HV=0.5982, feasible ratio=1.00
Gen   7: profit_max=78.00, profit_avg=35.96, load_min=0.00, att_min=0.00, quality_max=96.27, quality_avg=42.69, HV=0.5908, feasible ratio=1.00
Gen   8: profit_max=83.00, profit_avg=48.81, load_min=0.00, att_min=0.00, quality_max=99.62, quality_avg=56.85, HV=0.5693, feasible ratio=1.00
Gen   9: profit_max=92.00, profit_avg=52.48, load_min=0.00, att_min=0.00, quality_max=115.00, quality_avg=60.45, HV=0.5579, feasible ratio=1.00
Gen  10: profit_max=100.00, profit_avg=56.12, load_min=0.00, att_min=0.00, quality_max=119.10, quality_avg=64.34, HV=0.5532, feasible ratio=1.00
Gen  11: profit_max=114.00, profit_avg=61.57, load_min=0.00, att_min=0.00, quality_max=119.10, quality_avg=69.66, HV=0.5320, feasible ratio=1.00
Gen  12: profit_max=114.00, profit_avg=63.83, load_min=0.00, att_min=0.00, quality_max=125.74, quality_avg=71.17, HV=0.5475, feasible ratio=1.00
Gen  13: profit_max=114.00, profit_avg=66.68, load_min=0.00, att_min=0.00, quality_max=125.74, quality_avg=74.42, HV=0.5694, feasible ratio=1.00
Gen  14: profit_max=121.00, profit_avg=71.15, load_min=0.00, att_min=0.00, quality_max=136.39, quality_avg=80.29, HV=0.5734, feasible ratio=1.00
Gen  15: profit_max=123.00, profit_avg=72.54, load_min=0.00, att_min=0.00, quality_max=136.39, quality_avg=81.35, HV=0.5916, feasible ratio=1.00
Gen  16: profit_max=137.00, profit_avg=77.80, load_min=0.00, att_min=0.00, quality_max=153.00, quality_avg=87.72, HV=0.5444, feasible ratio=1.00
Gen  17: profit_max=146.00, profit_avg=79.75, load_min=0.00, att_min=0.00, quality_max=164.47, quality_avg=89.46, HV=0.5461, feasible ratio=1.00
