ÂºÄÂßã s5_t300 / mode_sdasÔºåÊó∂Èó¥Ôºö2026-05-25T18:58:22
ÂëΩ‰ª§ F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS

========== MODE-SDAS Run 1/8 ==========
Init: HV=0.2539, feasible ratio=0.41
Gen   1: profit_max=  151.00, profit_avg=   65.35, load_min=     21.44, att_min=      0.00, quality_max=    154.57, quality_avg=     70.35, tasks_avg= 11.55, HV=0.2947, feasible ratio=0.55
Gen   2: profit_max=  198.00, profit_avg=   77.48, load_min=     21.44, att_min=      0.00, quality_max=    204.82, quality_avg=     81.89, tasks_avg= 13.48, HV=0.3244, feasible ratio=0.70
Gen   3: profit_max=  211.00, profit_avg=   84.05, load_min=     21.44, att_min=      0.00, quality_max=    212.60, quality_avg=     87.90, tasks_avg= 14.63, HV=0.2697, feasible ratio=0.81
Gen   4: profit_max=  239.00, profit_avg=   90.44, load_min=     21.44, att_min=      0.00, quality_max=    252.15, quality_avg=     95.80, tasks_avg= 15.94, HV=0.2312, feasible ratio=0.97
Gen   5: profit_max=  239.00, profit_avg=  100.87, load_min=     21.44, att_min=      0.00, quality_max=    258.14, quality_avg=    107.90, tasks_avg= 17.83, HV=0.2839, feasible ratio=1.00
Gen   6: profit_max=  239.00, profit_avg=  105.89, load_min=     21.44, att_min=      0.00, quality_max=    258.14, quality_avg=    113.11, tasks_avg= 18.65, HV=0.2921, feasible ratio=1.00
Gen   7: profit_max=  251.00, profit_avg=  113.53, load_min=     21.44, att_min=      0.00, quality_max=    270.15, quality_avg=    122.08, tasks_avg= 20.03, HV=0.3622, feasible ratio=1.00
Gen   8: profit_max=  268.00, profit_avg=  120.16, load_min=     21.44, att_min=      0.00, quality_max=    276.14, quality_avg=    128.68, tasks_avg= 21.16, HV=0.3537, feasible ratio=1.00
Gen   9: profit_max=  282.00, profit_avg=  125.60, load_min=     21.44, att_min=      0.00, quality_max=    282.00, quality_avg=    132.84, tasks_avg= 22.02, HV=0.3450, feasible ratio=1.00
Gen  10: profit_max=  282.00, profit_avg=  128.34, load_min=     21.44, att_min=      0.00, quality_max=    282.00, quality_avg=    135.95, tasks_avg= 22.43, HV=0.3464, feasible ratio=1.00
Gen  11: profit_max=  282.00, profit_avg=  131.12, load_min=     21.44, att_min=      0.00, quality_max=    282.00, quality_avg=    137.37, tasks_avg= 22.75, HV=0.3637, feasible ratio=1.00
Gen  12: profit_max=  355.00, profit_avg=  138.32, load_min=     21.44, att_min=      0.00, quality_max=    358.25, quality_avg=    144.99, tasks_avg= 23.93, HV=0.3216, feasible ratio=1.00
Gen  13: profit_max=  355.00, profit_avg=  139.82, load_min=     21.44, att_min=      0.00, quality_max=    358.25, quality_avg=    146.50, tasks_avg= 24.11, HV=0.3441, feasible ratio=1.00
Gen  14: profit_max=  355.00, profit_avg=  142.54, load_min=     21.44, att_min=      0.00, quality_max=    362.79, quality_avg=    150.71, tasks_avg= 24.61, HV=0.3529, feasible ratio=1.00
Gen  15: profit_max=  355.00, profit_avg=  141.23, load_min=     21.44, att_min=      0.00, quality_max=    362.79, quality_avg=    149.12, tasks_avg= 24.34, HV=0.3558, feasible ratio=1.00
Gen  16: profit_max=  355.00, profit_avg=  140.11, load_min=     21.44, att_min=      0.00, quality_max=    362.79, quality_avg=    147.28, tasks_avg= 24.11, HV=0.3633, feasible ratio=1.00
Gen  17: profit_max=  355.00, profit_avg=  147.77, load_min=     21.44, att_min=      0.00, quality_max=    362.79, quality_avg=    154.71, tasks_avg= 25.29, HV=0.3659, feasible ratio=1.00
Gen  18: profit_max=  355.00, profit_avg=  153.20, load_min=     21.44, att_min=      0.00, quality_max=    362.79, quality_avg=    160.32, tasks_avg= 26.24, HV=0.3885, feasible ratio=1.00
Gen  19: profit_max=  355.00, profit_avg=  154.13, load_min=     21.44, att_min=      0.00, quality_max=    362.79, quality_avg=    161.69, tasks_avg= 26.44, HV=0.3912, feasible ratio=1.00
Gen  20: profit_max=  355.00, profit_avg=  154.13, load_min=     21.44, att_min=      0.00, quality_max=    362.79, quality_avg=    161.69, tasks_avg= 26.44, HV=0.3912, feasible ratio=1.00
Gen  21: profit_max=  382.00, profit_avg=  158.59, load_min=     21.44, att_min=      0.00, quality_max=    382.71, quality_avg=    167.13, tasks_avg= 27.19, HV=0.3463, feasible ratio=1.00
Gen  22: profit_max=  382.00, profit_avg=  160.93, load_min=     21.44, att_min=      0.00, quality_max=    382.71, quality_avg=    169.49, tasks_avg= 27.62, HV=0.3464, feasible ratio=1.00
Gen  23: profit_max=  382.00, profit_avg=  162.71, load_min=     21.44, att_min=      0.00, quality_max=    382.71, quality_avg=    170.22, tasks_avg= 27.89, HV=0.3469, feasible ratio=1.00
Gen  24: profit_max=  382.00, profit_avg=  164.09, load_min=     21.44, att_min=      0.00, quality_max=    382.71, quality_avg=    171.20, tasks_avg= 28.03, HV=0.3469, feasible ratio=1.00
Gen  25: profit_max=  382.00, profit_avg=  164.09, load_min=     21.44, att_min=      0.00, quality_max=    382.71, quality_avg=    171.20, tasks_avg= 28.03, HV=0.3469, feasible ratio=1.00
Gen  26: profit_max=  382.00, profit_avg=  171.89, load_min=     21.44, att_min=      0.00, quality_max=    382.71, quality_avg=    177.66, tasks_avg= 29.20, HV=0.3613, feasible ratio=1.00
Gen  27: profit_max=  382.00, profit_avg=  171.56, load_min=     21.44, att_min=      0.00, quality_max=    382.71, quality_avg=    177.12, tasks_avg= 29.11, HV=0.3613, feasible ratio=1.00
Gen  28: profit_max=  382.00, profit_avg=  172.26, load_min=     21.44, att_min=      0.00, quality_max=    382.71, quality_avg=    177.59, tasks_avg= 29.18, HV=0.3614, feasible ratio=1.00
Gen  29: profit_max=  382.00, profit_avg=  174.48, load_min=     21.44, att_min=      0.00, quality_max=    382.71, quality_avg=    179.50, tasks_avg= 29.53, HV=0.3623, feasible ratio=1.00
