开始 s5_t300 / mode_sdas_dpic，时间：2026-05-26T10:50:41
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5693, feasible ratio=0.48
Gen   1: profit_max=180.00, profit_avg=72.01, load_min=133.36, att_min=0.00, quality_max=171.09, quality_avg=75.85, tasks_avg=12.62, HV=0.3639, feasible ratio=0.73, Nsub=21
Gen   2: profit_max=205.00, profit_avg=81.87, load_min=133.36, att_min=0.00, quality_max=196.24, quality_avg=84.62, tasks_avg=14.34, HV=0.3356, feasible ratio=0.94, Nsub=21
Gen   3: profit_max=245.00, profit_avg=105.77, load_min=133.36, att_min=0.00, quality_max=239.59, quality_avg=106.76, tasks_avg=18.36, HV=0.3163, feasible ratio=1.00, Nsub=21
Gen   4: profit_max=311.00, profit_avg=119.14, load_min=133.36, att_min=0.00, quality_max=334.91, quality_avg=119.16, tasks_avg=20.50, HV=0.2837, feasible ratio=1.00, Nsub=21
Gen   5: profit_max=311.00, profit_avg=129.56, load_min=133.36, att_min=0.00, quality_max=334.91, quality_avg=129.50, tasks_avg=22.16, HV=0.2925, feasible ratio=1.00, Nsub=21
Gen   6: profit_max=311.00, profit_avg=136.79, load_min=133.36, att_min=0.00, quality_max=334.91, quality_avg=136.73, tasks_avg=23.31, HV=0.3396, feasible ratio=1.00, Nsub=21
Gen   7: profit_max=335.00, profit_avg=145.12, load_min=133.36, att_min=0.00, quality_max=334.91, quality_avg=145.40, tasks_avg=24.73, HV=0.3448, feasible ratio=1.00, Nsub=21
Gen   8: profit_max=373.00, profit_avg=147.42, load_min=91.44, att_min=0.00, quality_max=344.04, quality_avg=147.67, tasks_avg=25.03, HV=0.3096, feasible ratio=1.00, Nsub=21
Gen   9: profit_max=373.00, profit_avg=148.09, load_min=91.44, att_min=0.00, quality_max=344.04, quality_avg=147.60, tasks_avg=24.98, HV=0.3132, feasible ratio=1.00, Nsub=21
Gen  10: profit_max=373.00, profit_avg=150.92, load_min=91.44, att_min=0.00, quality_max=344.04, quality_avg=150.59, tasks_avg=25.48, HV=0.3155, feasible ratio=1.00, Nsub=21
Gen  11: profit_max=373.00, profit_avg=155.40, load_min=91.44, att_min=0.00, quality_max=344.04, quality_avg=154.97, tasks_avg=26.27, HV=0.3162, feasible ratio=1.00, Nsub=21
Gen  12: profit_max=373.00, profit_avg=160.09, load_min=91.44, att_min=0.00, quality_max=383.40, quality_avg=160.46, tasks_avg=27.03, HV=0.3197, feasible ratio=1.00, Nsub=21
Gen  13: profit_max=373.00, profit_avg=162.43, load_min=91.44, att_min=0.00, quality_max=383.40, quality_avg=163.15, tasks_avg=27.46, HV=0.3400, feasible ratio=1.00, Nsub=21
Gen  14: profit_max=373.00, profit_avg=165.83, load_min=91.44, att_min=0.00, quality_max=383.40, quality_avg=166.92, tasks_avg=27.98, HV=0.3438, feasible ratio=1.00, Nsub=21
Gen  15: profit_max=373.00, profit_avg=168.02, load_min=91.44, att_min=0.00, quality_max=383.40, quality_avg=168.93, tasks_avg=28.36, HV=0.3469, feasible ratio=1.00, Nsub=21
Gen  16: profit_max=373.00, profit_avg=171.42, load_min=91.44, att_min=0.00, quality_max=383.40, quality_avg=172.58, tasks_avg=28.99, HV=0.3471, feasible ratio=1.00, Nsub=21
Gen  17: profit_max=373.00, profit_avg=171.93, load_min=91.44, att_min=0.00, quality_max=383.40, quality_avg=172.95, tasks_avg=29.09, HV=0.3473, feasible ratio=1.00, Nsub=21
Gen  18: profit_max=373.00, profit_avg=171.85, load_min=91.44, att_min=0.00, quality_max=383.40, quality_avg=173.59, tasks_avg=29.14, HV=0.3478, feasible ratio=1.00, Nsub=21
Gen  19: profit_max=373.00, profit_avg=172.68, load_min=91.44, att_min=0.00, quality_max=383.40, quality_avg=174.52, tasks_avg=29.25, HV=0.3541, feasible ratio=1.00, Nsub=21
Gen  20: profit_max=373.00, profit_avg=173.51, load_min=91.44, att_min=0.00, quality_max=383.40, quality_avg=175.43, tasks_avg=29.39, HV=0.3541, feasible ratio=1.00, Nsub=21
Gen  21: profit_max=373.00, profit_avg=175.72, load_min=91.44, att_min=0.00, quality_max=383.40, quality_avg=177.75, tasks_avg=29.75, HV=0.3554, feasible ratio=1.00, Nsub=21
Gen  22: profit_max=373.00, profit_avg=176.69, load_min=91.44, att_min=0.00, quality_max=383.40, quality_avg=179.24, tasks_avg=29.97, HV=0.3563, feasible ratio=1.00, Nsub=21
Gen  23: profit_max=373.00, profit_avg=177.97, load_min=91.44, att_min=0.00, quality_max=383.40, quality_avg=180.15, tasks_avg=30.17, HV=0.3561, feasible ratio=1.00, Nsub=21
Gen  24: profit_max=373.00, profit_avg=176.64, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=178.78, tasks_avg=29.94, HV=0.3553, feasible ratio=1.00, Nsub=21
Gen  25: profit_max=373.00, profit_avg=177.53, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=179.65, tasks_avg=30.06, HV=0.3554, feasible ratio=1.00, Nsub=21
Gen  26: profit_max=373.00, profit_avg=178.60, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=180.73, tasks_avg=30.25, HV=0.3564, feasible ratio=1.00, Nsub=21
Gen  27: profit_max=373.00, profit_avg=179.13, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=181.80, tasks_avg=30.40, HV=0.3573, feasible ratio=1.00, Nsub=21
Gen  28: profit_max=373.00, profit_avg=180.83, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=183.45, tasks_avg=30.70, HV=0.3892, feasible ratio=1.00, Nsub=21
Gen  29: profit_max=373.00, profit_avg=183.59, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=186.04, tasks_avg=31.16, HV=0.3896, feasible ratio=1.00, Nsub=21
Gen  30: profit_max=373.00, profit_avg=186.53, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=188.48, tasks_avg=31.64, HV=0.3889, feasible ratio=1.00, Nsub=21
Gen  31: profit_max=373.00, profit_avg=187.78, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=188.23, tasks_avg=31.74, HV=0.3884, feasible ratio=1.00, Nsub=21
Gen  32: profit_max=373.00, profit_avg=187.78, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=188.23, tasks_avg=31.74, HV=0.3884, feasible ratio=1.00, Nsub=21
Gen  33: profit_max=373.00, profit_avg=187.78, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=188.23, tasks_avg=31.74, HV=0.3884, feasible ratio=1.00, Nsub=21
Gen  34: profit_max=373.00, profit_avg=188.39, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=188.53, tasks_avg=31.81, HV=0.3884, feasible ratio=1.00, Nsub=21
Gen  35: profit_max=373.00, profit_avg=188.40, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=188.81, tasks_avg=31.81, HV=0.3886, feasible ratio=1.00, Nsub=21
Gen  36: profit_max=373.00, profit_avg=190.26, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=191.23, tasks_avg=32.12, HV=0.3958, feasible ratio=1.00, Nsub=21
Gen  37: profit_max=373.00, profit_avg=190.45, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=191.35, tasks_avg=32.12, HV=0.3961, feasible ratio=1.00, Nsub=21
Gen  38: profit_max=373.00, profit_avg=190.45, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=191.35, tasks_avg=32.12, HV=0.3961, feasible ratio=1.00, Nsub=21
