开始 s5_t300 / mode_sdas_dpic_dual_archive，时间：2026-05-26T17:12:01
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + DPIC + Dual Archive

========== MODE-SDAS + DPIC + Dual Archive Run 1/8 ==========
Init: HV=0.3966, feasible ratio=0.43
Gen   1: profit_max=166.00, profit_avg=68.37, load_min=78.64, att_min=0.00, quality_max=151.99, quality_avg=73.14, tasks_avg=11.94, HV=0.3427, feasible ratio=0.61, fea_archive=104, inf_archive=96
Gen   2: profit_max=208.00, profit_avg=83.32, load_min=78.64, att_min=0.00, quality_max=211.68, quality_avg=87.83, tasks_avg=14.48, HV=0.2810, feasible ratio=0.83, fea_archive=187, inf_archive=113
Gen   3: profit_max=295.00, profit_avg=97.96, load_min=78.64, att_min=0.00, quality_max=278.58, quality_avg=104.42, tasks_avg=17.23, HV=0.3090, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen   4: profit_max=295.00, profit_avg=107.09, load_min=78.64, att_min=0.00, quality_max=278.58, quality_avg=112.74, tasks_avg=18.72, HV=0.3254, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen   5: profit_max=295.00, profit_avg=118.74, load_min=78.64, att_min=0.00, quality_max=300.29, quality_avg=125.52, tasks_avg=20.80, HV=0.3267, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen   6: profit_max=295.00, profit_avg=122.82, load_min=78.64, att_min=0.00, quality_max=300.29, quality_avg=129.46, tasks_avg=21.47, HV=0.3332, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen   7: profit_max=328.00, profit_avg=126.94, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=133.40, tasks_avg=22.19, HV=0.3126, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen   8: profit_max=328.00, profit_avg=126.46, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=134.37, tasks_avg=22.16, HV=0.3132, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen   9: profit_max=328.00, profit_avg=128.77, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=135.33, tasks_avg=22.39, HV=0.3205, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  10: profit_max=328.00, profit_avg=132.85, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=139.57, tasks_avg=23.07, HV=0.3780, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  11: profit_max=328.00, profit_avg=132.86, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=139.63, tasks_avg=23.09, HV=0.3780, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  12: profit_max=328.00, profit_avg=132.99, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=139.89, tasks_avg=23.09, HV=0.3780, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  13: profit_max=328.00, profit_avg=134.34, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=140.81, tasks_avg=23.30, HV=0.3780, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  14: profit_max=328.00, profit_avg=133.53, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=140.31, tasks_avg=23.14, HV=0.3797, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  15: profit_max=328.00, profit_avg=135.25, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=142.57, tasks_avg=23.45, HV=0.3806, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  16: profit_max=328.00, profit_avg=135.93, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=143.08, tasks_avg=23.54, HV=0.3806, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  17: profit_max=328.00, profit_avg=134.71, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=141.70, tasks_avg=23.24, HV=0.3934, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  18: profit_max=328.00, profit_avg=136.09, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=144.39, tasks_avg=23.57, HV=0.4040, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  19: profit_max=328.00, profit_avg=134.61, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=142.91, tasks_avg=23.32, HV=0.4040, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  20: profit_max=328.00, profit_avg=135.70, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=143.25, tasks_avg=23.35, HV=0.4043, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  21: profit_max=328.00, profit_avg=136.38, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=143.93, tasks_avg=23.44, HV=0.4053, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  22: profit_max=328.00, profit_avg=139.00, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=146.10, tasks_avg=23.79, HV=0.4058, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  23: profit_max=328.00, profit_avg=138.53, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=145.77, tasks_avg=23.73, HV=0.4064, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  24: profit_max=328.00, profit_avg=138.67, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=145.76, tasks_avg=23.72, HV=0.4069, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  25: profit_max=328.00, profit_avg=138.57, load_min=78.64, att_min=0.00, quality_max=359.45, quality_avg=146.00, tasks_avg=23.69, HV=0.4069, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  26: profit_max=347.00, profit_avg=143.39, load_min=78.64, att_min=0.00, quality_max=375.13, quality_avg=151.68, tasks_avg=24.53, HV=0.3687, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  27: profit_max=347.00, profit_avg=143.88, load_min=78.64, att_min=0.00, quality_max=375.13, quality_avg=152.39, tasks_avg=24.55, HV=0.3721, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  28: profit_max=347.00, profit_avg=147.96, load_min=78.64, att_min=0.00, quality_max=375.13, quality_avg=157.26, tasks_avg=25.26, HV=0.3971, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  29: profit_max=347.00, profit_avg=150.82, load_min=78.64, att_min=0.00, quality_max=375.13, quality_avg=159.99, tasks_avg=25.74, HV=0.3972, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  30: profit_max=347.00, profit_avg=151.99, load_min=78.64, att_min=0.00, quality_max=375.13, quality_avg=161.18, tasks_avg=25.94, HV=0.3972, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  31: profit_max=347.00, profit_avg=155.36, load_min=78.64, att_min=0.00, quality_max=375.13, quality_avg=164.09, tasks_avg=26.48, HV=0.3975, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  32: profit_max=347.00, profit_avg=156.55, load_min=78.64, att_min=0.00, quality_max=375.13, quality_avg=165.22, tasks_avg=26.68, HV=0.3975, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  33: profit_max=369.00, profit_avg=159.37, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=167.81, tasks_avg=27.22, HV=0.4529, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  34: profit_max=369.00, profit_avg=158.81, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=167.12, tasks_avg=27.04, HV=0.4532, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  35: profit_max=369.00, profit_avg=158.89, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=167.21, tasks_avg=27.03, HV=0.4533, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  36: profit_max=369.00, profit_avg=164.32, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=172.65, tasks_avg=28.00, HV=0.4557, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  37: profit_max=369.00, profit_avg=163.55, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=172.26, tasks_avg=27.86, HV=0.4559, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  38: profit_max=369.00, profit_avg=164.41, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=172.88, tasks_avg=27.98, HV=0.4559, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  39: profit_max=369.00, profit_avg=164.41, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=172.88, tasks_avg=27.98, HV=0.4559, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  40: profit_max=369.00, profit_avg=165.95, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=173.95, tasks_avg=28.16, HV=0.4576, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  41: profit_max=369.00, profit_avg=168.08, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=176.28, tasks_avg=28.58, HV=0.4576, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  42: profit_max=369.00, profit_avg=168.08, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=176.28, tasks_avg=28.58, HV=0.4576, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  43: profit_max=369.00, profit_avg=168.16, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=176.48, tasks_avg=28.57, HV=0.4576, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  44: profit_max=369.00, profit_avg=167.21, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=174.81, tasks_avg=28.41, HV=0.4575, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  45: profit_max=369.00, profit_avg=169.14, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=177.47, tasks_avg=28.81, HV=0.4575, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  46: profit_max=369.00, profit_avg=173.70, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=181.69, tasks_avg=29.57, HV=0.4670, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  47: profit_max=369.00, profit_avg=175.81, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=183.36, tasks_avg=29.87, HV=0.4671, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  48: profit_max=369.00, profit_avg=175.81, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=183.36, tasks_avg=29.87, HV=0.4671, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  49: profit_max=369.00, profit_avg=181.63, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=189.21, tasks_avg=30.88, HV=0.4672, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  50: profit_max=369.00, profit_avg=182.01, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=190.40, tasks_avg=31.03, HV=0.4652, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  51: profit_max=369.00, profit_avg=182.03, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=190.45, tasks_avg=31.01, HV=0.4658, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  52: profit_max=369.00, profit_avg=186.12, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=193.84, tasks_avg=31.63, HV=0.4660, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  53: profit_max=369.00, profit_avg=189.97, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=199.31, tasks_avg=32.42, HV=0.4737, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  54: profit_max=369.00, profit_avg=190.21, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=199.23, tasks_avg=32.40, HV=0.4738, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  55: profit_max=369.00, profit_avg=190.32, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=199.09, tasks_avg=32.45, HV=0.4738, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  56: profit_max=369.00, profit_avg=190.35, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=199.17, tasks_avg=32.47, HV=0.4739, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  57: profit_max=369.00, profit_avg=190.49, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=199.19, tasks_avg=32.47, HV=0.4743, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  58: profit_max=369.00, profit_avg=190.73, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=199.72, tasks_avg=32.53, HV=0.4803, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  59: profit_max=369.00, profit_avg=191.85, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=200.36, tasks_avg=32.69, HV=0.4809, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  60: profit_max=369.00, profit_avg=196.13, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=203.78, tasks_avg=33.32, HV=0.4809, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  61: profit_max=369.00, profit_avg=195.74, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=204.19, tasks_avg=33.33, HV=0.4812, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  62: profit_max=369.00, profit_avg=196.50, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=205.15, tasks_avg=33.52, HV=0.4815, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  63: profit_max=369.00, profit_avg=197.53, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=207.00, tasks_avg=33.71, HV=0.4824, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  64: profit_max=369.00, profit_avg=197.53, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=207.00, tasks_avg=33.71, HV=0.4824, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  65: profit_max=369.00, profit_avg=197.53, load_min=78.64, att_min=0.00, quality_max=378.35, quality_avg=207.00, tasks_avg=33.71, HV=0.4824, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  66: profit_max=369.00, profit_avg=197.57, load_min=78.64, att_min=0.00, quality_max=402.46, quality_avg=206.76, tasks_avg=33.69, HV=0.4547, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  67: profit_max=369.00, profit_avg=199.15, load_min=78.64, att_min=0.00, quality_max=402.46, quality_avg=207.84, tasks_avg=33.94, HV=0.4548, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  68: profit_max=394.00, profit_avg=201.68, load_min=78.64, att_min=0.00, quality_max=402.46, quality_avg=210.39, tasks_avg=34.38, HV=0.4333, feasible ratio=1.00, fea_archive=200, inf_archive=113
Gen  69: profit_max=425.00, profit_avg=205.42, load_min=78.64, att_min=0.00, quality_max=454.79, quality_avg=214.33, tasks_avg=35.01, HV=0.3556, feasible ratio=1.00, fea_archive=200, inf_archive=113
