开始 s5_t300 / mode_sdas_dual_archive，时间：2026-05-25T22:07:31
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.3074, feasible ratio=0.51
Gen   1: profit_max=163.00 load_min=50.00, att_min=0.00, quality_max=186.43 HV=0.2861, feasible ratio=0.70, fea_archive=121, inf_archive=79
Gen   2: profit_max=230.00 load_min=56.24, att_min=0.00, quality_max=210.03 HV=0.3542, feasible ratio=0.88, fea_archive=200, inf_archive=91
Gen   3: profit_max=222.00 load_min=56.24, att_min=0.00, quality_max=239.98 HV=0.3739, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen   4: profit_max=222.00 load_min=56.24, att_min=0.00, quality_max=245.01 HV=0.3802, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen   5: profit_max=222.00 load_min=56.24, att_min=0.00, quality_max=245.01 HV=0.4063, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen   6: profit_max=251.00 load_min=56.24, att_min=0.00, quality_max=273.95 HV=0.3568, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen   7: profit_max=281.00 load_min=56.24, att_min=0.00, quality_max=299.54 HV=0.3179, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen   8: profit_max=297.00 load_min=56.24, att_min=0.00, quality_max=342.41 HV=0.3040, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen   9: profit_max=297.00 load_min=56.24, att_min=0.00, quality_max=342.41 HV=0.3212, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  10: profit_max=297.00 load_min=56.24, att_min=0.00, quality_max=342.41 HV=0.3220, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  11: profit_max=297.00 load_min=56.24, att_min=0.00, quality_max=342.41 HV=0.3236, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  12: profit_max=297.00 load_min=56.24, att_min=0.00, quality_max=342.41 HV=0.3381, feasible ratio=1.00, fea_archive=200, inf_archive=91
