case,algorithm,started_at,finished_at,return_code,log_file
s5_t100,mode_sdas,2026-05-25T07:31:39,2026-05-25T08:49:19,0,F:\my_research\experiment_logs\20260525_073139\s5_t100\mode_sdas.log
s5_t100,mode_sdas_dual_archive,2026-05-25T08:49:19,2026-05-25T10:08:39,0,F:\my_research\experiment_logs\20260525_073139\s5_t100\mode_sdas_dual_archive.log
s5_t100,mode_sdas_adaptive_subspace,2026-05-25T10:08:39,2026-05-25T11:19:45,0,F:\my_research\experiment_logs\20260525_073139\s5_t100\mode_sdas_adaptive_subspace.log
s5_t100,mode_sdas_dpic_only,2026-05-25T11:19:45,2026-05-25T13:34:48,0,F:\my_research\experiment_logs\20260525_073139\s5_t100\mode_sdas_dpic_only.log
s5_t100,mode_sdas_dpic,2026-05-25T13:34:48,2026-05-25T15:41:24,0,F:\my_research\experiment_logs\20260525_073139\s5_t100\mode_sdas_dpic.log
s5_t100,mode_sdas_dpic_dual_archive,2026-05-25T15:41:24,2026-05-25T18:28:55,0,F:\my_research\experiment_logs\20260525_073139\s5_t100\mode_sdas_dpic_dual_archive.log
s5_t100,nsga2,2026-05-25T18:28:55,2026-05-25T18:58:22,0,F:\my_research\experiment_logs\20260525_073139\s5_t100\nsga2.log
s5_t300,mode_sdas,2026-05-25T18:58:22,2026-05-25T22:07:31,0,F:\my_research\experiment_logs\20260525_073139\s5_t300\mode_sdas.log
s5_t300,mode_sdas_dual_archive,2026-05-25T22:07:31,2026-05-26T01:18:07,0,F:\my_research\experiment_logs\20260525_073139\s5_t300\mode_sdas_dual_archive.log
s5_t300,mode_sdas_adaptive_subspace,2026-05-26T01:18:07,2026-05-26T04:26:24,0,F:\my_research\experiment_logs\20260525_073139\s5_t300\mode_sdas_adaptive_subspace.log
s5_t300,mode_sdas_dpic_only,2026-05-26T04:26:24,2026-05-26T10:50:41,0,F:\my_research\experiment_logs\20260525_073139\s5_t300\mode_sdas_dpic_only.log
s5_t300,mode_sdas_dpic,2026-05-26T10:50:41,2026-05-26T17:12:01,0,F:\my_research\experiment_logs\20260525_073139\s5_t300\mode_sdas_dpic.log
s5_t300,mode_sdas_dpic_dual_archive,2026-05-26T17:12:01,2026-05-26T23:37:04,0,F:\my_research\experiment_logs\20260525_073139\s5_t300\mode_sdas_dpic_dual_archive.log
s5_t300,nsga2,2026-05-26T23:37:04,2026-05-27T00:48:15,0,F:\my_research\experiment_logs\20260525_073139\s5_t300\nsga2.log
