开始 s5_t100 / mode_sdas_dual_archive，时间：2026-05-27T00:48:24
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.6190, feasible ratio=0.74
Gen   1: profit_max=89.00 load_min=0.00, att_min=0.00, quality_max=86.88 HV=0.5420, feasible ratio=1.00, fea_archive=174, inf_archive=26
Gen   2: profit_max=107.00 load_min=0.00, att_min=0.00, quality_max=126.60 HV=0.4683, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen   3: profit_max=113.00 load_min=0.00, att_min=0.00, quality_max=149.01 HV=0.4469, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen   4: profit_max=117.00 load_min=0.00, att_min=0.00, quality_max=162.84 HV=0.5067, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen   5: profit_max=143.00 load_min=0.00, att_min=0.00, quality_max=162.84 HV=0.4581, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen   6: profit_max=143.00 load_min=0.00, att_min=0.00, quality_max=162.84 HV=0.4921, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen   7: profit_max=165.00 load_min=0.00, att_min=0.00, quality_max=208.16 HV=0.3584, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen   8: profit_max=165.00 load_min=0.00, att_min=0.00, quality_max=208.16 HV=0.3777, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen   9: profit_max=165.00 load_min=0.00, att_min=0.00, quality_max=208.16 HV=0.3802, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  10: profit_max=174.00 load_min=0.00, att_min=0.00, quality_max=208.16 HV=0.4455, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  11: profit_max=175.00 load_min=0.00, att_min=0.00, quality_max=209.06 HV=0.5055, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  12: profit_max=175.00 load_min=0.00, att_min=0.00, quality_max=209.06 HV=0.5086, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  13: profit_max=194.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.4128, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  14: profit_max=194.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.4210, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  15: profit_max=197.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.4876, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  16: profit_max=198.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.4883, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  17: profit_max=205.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.4919, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  18: profit_max=205.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.4926, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  19: profit_max=205.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.4979, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  20: profit_max=211.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.4928, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  21: profit_max=211.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.4971, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  22: profit_max=211.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.5076, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  23: profit_max=211.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.5254, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  24: profit_max=211.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.5257, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  25: profit_max=211.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.5264, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  26: profit_max=211.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.5283, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  27: profit_max=211.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.5284, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  28: profit_max=211.00 load_min=0.00, att_min=0.00, quality_max=238.89 HV=0.5297, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  29: profit_max=226.00 load_min=0.00, att_min=0.00, quality_max=249.87 HV=0.4800, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  30: profit_max=226.00 load_min=0.00, att_min=0.00, quality_max=249.87 HV=0.4816, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  31: profit_max=226.00 load_min=0.00, att_min=0.00, quality_max=249.87 HV=0.4843, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  32: profit_max=226.00 load_min=0.00, att_min=0.00, quality_max=249.87 HV=0.4845, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  33: profit_max=226.00 load_min=0.00, att_min=0.00, quality_max=249.87 HV=0.4870, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  34: profit_max=226.00 load_min=0.00, att_min=0.00, quality_max=252.03 HV=0.4841, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  35: profit_max=226.00 load_min=0.00, att_min=0.00, quality_max=252.03 HV=0.4830, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  36: profit_max=226.00 load_min=0.00, att_min=0.00, quality_max=252.03 HV=0.4831, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  37: profit_max=226.00 load_min=0.00, att_min=0.00, quality_max=252.03 HV=0.4827, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  38: profit_max=227.00 load_min=0.00, att_min=0.00, quality_max=252.03 HV=0.4892, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  39: profit_max=235.00 load_min=0.00, att_min=0.00, quality_max=266.99 HV=0.4607, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  40: profit_max=238.00 load_min=0.00, att_min=0.00, quality_max=267.52 HV=0.4760, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  41: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=270.13 HV=0.4345, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  42: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=270.13 HV=0.4451, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  43: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=270.13 HV=0.4470, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  44: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=270.13 HV=0.4472, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  45: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=270.13 HV=0.4488, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  46: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=270.13 HV=0.4513, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  47: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4383, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  48: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4410, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  49: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4414, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  50: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4422, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  51: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4500, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  52: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4555, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  53: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4555, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  54: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4649, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  55: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4635, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  56: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4636, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  57: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4622, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  58: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4572, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  59: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4565, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  60: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4564, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  61: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4563, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  62: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4562, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  63: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4545, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  64: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4544, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  65: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4556, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  66: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4647, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  67: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4644, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  68: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4644, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  69: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4646, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  70: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4627, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  71: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.5328, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  72: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.5327, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  73: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.5327, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  74: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.5404, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  75: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.5400, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  76: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=281.33 HV=0.5350, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  77: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=281.33 HV=0.5353, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  78: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=281.33 HV=0.5353, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  79: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=281.33 HV=0.5313, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  80: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=281.33 HV=0.5102, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  81: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=281.33 HV=0.5102, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  82: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=281.33 HV=0.5103, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  83: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=296.55 HV=0.4847, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  84: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=296.55 HV=0.4847, feasible ratio=1.00, fea_archive=200, inf_archive=26
