开始 s5_t100 / mode_sdas_dpic，时间：2026-05-27T10:47:56
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5327, feasible ratio=0.83
Gen   1: profit_max=83.00, profit_avg=30.84, load_min=0.00, att_min=0.00, quality_max=88.31, quality_avg=34.68, tasks_avg=5.59, HV=0.4636, feasible ratio=1.00, Nsub=21, fea_archive=183, inf_archive=17
Gen   2: profit_max=155.00, profit_avg=46.52, load_min=0.00, att_min=0.00, quality_max=164.83, quality_avg=51.23, tasks_avg=8.32, HV=0.2964, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen   3: profit_max=159.00, profit_avg=54.20, load_min=0.00, att_min=0.00, quality_max=164.83, quality_avg=58.16, tasks_avg=9.65, HV=0.4568, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen   4: profit_max=198.00, profit_avg=64.07, load_min=0.00, att_min=0.00, quality_max=188.18, quality_avg=68.44, tasks_avg=11.33, HV=0.4013, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen   5: profit_max=198.00, profit_avg=69.28, load_min=0.00, att_min=0.00, quality_max=188.18, quality_avg=74.88, tasks_avg=12.16, HV=0.4432, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen   6: profit_max=198.00, profit_avg=74.94, load_min=0.00, att_min=0.00, quality_max=188.18, quality_avg=81.29, tasks_avg=13.14, HV=0.4521, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen   7: profit_max=198.00, profit_avg=82.02, load_min=0.00, att_min=0.00, quality_max=203.31, quality_avg=88.90, tasks_avg=14.40, HV=0.4344, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen   8: profit_max=203.00, profit_avg=88.53, load_min=0.00, att_min=0.00, quality_max=203.31, quality_avg=93.72, tasks_avg=15.27, HV=0.4486, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen   9: profit_max=217.00, profit_avg=93.97, load_min=0.00, att_min=0.00, quality_max=218.13, quality_avg=99.17, tasks_avg=16.19, HV=0.4280, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  10: profit_max=250.00, profit_avg=95.85, load_min=0.00, att_min=0.00, quality_max=239.71, quality_avg=101.39, tasks_avg=16.44, HV=0.3798, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  11: profit_max=250.00, profit_avg=99.69, load_min=0.00, att_min=0.00, quality_max=239.71, quality_avg=106.49, tasks_avg=17.22, HV=0.3823, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  12: profit_max=250.00, profit_avg=105.78, load_min=0.00, att_min=0.00, quality_max=239.71, quality_avg=112.04, tasks_avg=18.27, HV=0.3856, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
