开始 s5_t100 / mode_sdas_dpic_dual_archive，时间：2026-05-27T13:37:24
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + DPIC + Dual Archive

========== MODE-SDAS + DPIC + Dual Archive Run 1/8 ==========
Init: HV=0.8995, feasible ratio=0.81
Gen   1: profit_max=65.00, profit_avg=24.22, load_min=0.00, att_min=0.00, quality_max=74.75, quality_avg=26.45, tasks_avg=4.48, HV=0.6038, feasible ratio=1.00, fea_archive=181, inf_archive=19
Gen   2: profit_max=98.00, profit_avg=39.05, load_min=0.00, att_min=0.00, quality_max=101.43, quality_avg=42.41, tasks_avg=7.13, HV=0.5423, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen   3: profit_max=133.00, profit_avg=54.55, load_min=0.00, att_min=0.00, quality_max=122.84, quality_avg=58.40, tasks_avg=9.92, HV=0.4459, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen   4: profit_max=133.00, profit_avg=60.62, load_min=0.00, att_min=0.00, quality_max=145.13, quality_avg=66.93, tasks_avg=11.14, HV=0.3940, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen   5: profit_max=136.00, profit_avg=66.10, load_min=0.00, att_min=0.00, quality_max=156.67, quality_avg=73.32, tasks_avg=12.15, HV=0.4505, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen   6: profit_max=154.00, profit_avg=73.88, load_min=0.00, att_min=0.00, quality_max=168.56, quality_avg=82.26, tasks_avg=13.56, HV=0.4232, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen   7: profit_max=157.00, profit_avg=79.33, load_min=0.00, att_min=0.00, quality_max=168.56, quality_avg=87.13, tasks_avg=14.53, HV=0.4595, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen   8: profit_max=216.00, profit_avg=84.61, load_min=0.00, att_min=0.00, quality_max=207.94, quality_avg=92.56, tasks_avg=15.42, HV=0.3813, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen   9: profit_max=216.00, profit_avg=91.08, load_min=0.00, att_min=0.00, quality_max=207.94, quality_avg=99.63, tasks_avg=16.63, HV=0.4009, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  10: profit_max=216.00, profit_avg=92.88, load_min=0.00, att_min=0.00, quality_max=207.94, quality_avg=100.95, tasks_avg=16.89, HV=0.4078, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  11: profit_max=216.00, profit_avg=93.41, load_min=0.00, att_min=0.00, quality_max=229.98, quality_avg=102.19, tasks_avg=17.02, HV=0.4141, feasible ratio=1.00, fea_archive=200, inf_archive=19
