å¼€å§‹ s5_t300 / mode_sdas_dual_archiveï¼Œæ—¶é—´ï¼š2026-05-27T16:19:17
å‘½ä»¤ F:\Anaconda\python.exe -u main.py


ÔËÐÐËã·¨£ºMODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.4749, feasible ratio=0.58
Gen   1: profit_max=159.00 load_min=50.00, att_min=18.98, quality_max=169.02 HV=0.3526, feasible ratio=0.79, fea_archive=137, inf_archive=63
Gen   2: profit_max=192.00 load_min=50.00, att_min=18.98, quality_max=188.00 HV=0.3428, feasible ratio=0.95, fea_archive=200, inf_archive=68
Gen   3: profit_max=237.00 load_min=50.00, att_min=18.98, quality_max=244.44 HV=0.3190, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen   4: profit_max=308.00 load_min=50.00, att_min=18.98, quality_max=291.70 HV=0.2491, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen   5: profit_max=313.00 load_min=50.00, att_min=18.98, quality_max=320.35 HV=0.3053, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen   6: profit_max=313.00 load_min=50.00, att_min=18.98, quality_max=320.35 HV=0.3060, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen   7: profit_max=313.00 load_min=50.00, att_min=18.98, quality_max=320.35 HV=0.3381, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen   8: profit_max=337.00 load_min=50.00, att_min=18.98, quality_max=320.35 HV=0.3485, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen   9: profit_max=337.00 load_min=50.00, att_min=18.98, quality_max=320.35 HV=0.3514, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  10: profit_max=337.00 load_min=50.00, att_min=18.98, quality_max=320.35 HV=0.3535, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  11: profit_max=337.00 load_min=50.00, att_min=18.98, quality_max=320.35 HV=0.3628, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  12: profit_max=337.00 load_min=50.00, att_min=18.98, quality_max=320.35 HV=0.3688, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  13: profit_max=337.00 load_min=50.00, att_min=18.98, quality_max=330.48 HV=0.3696, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  14: profit_max=337.00 load_min=50.00, att_min=18.98, quality_max=330.48 HV=0.3740, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  15: profit_max=337.00 load_min=50.00, att_min=18.98, quality_max=330.48 HV=0.3754, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  16: profit_max=337.00 load_min=50.00, att_min=18.98, quality_max=330.48 HV=0.3745, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  17: profit_max=337.00 load_min=50.00, att_min=18.98, quality_max=330.48 HV=0.3800, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  18: profit_max=337.00 load_min=50.00, att_min=18.98, quality_max=330.48 HV=0.3808, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  19: profit_max=337.00 load_min=50.00, att_min=18.98, quality_max=330.48 HV=0.3815, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  20: profit_max=337.00 load_min=50.00, att_min=18.98, quality_max=330.48 HV=0.3823, feasible ratio=1.00, fea_archive=200, inf_archive=68
