START s5_t100 / mode_sdas_dpic: 2026-05-27T19:12:41
COMMAND F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5436, feasible ratio=0.79
Gen   1: profit_max=48.00, profit_avg=20.80, load_min=0.00, att_min=0.00, quality_max=68.56, quality_avg=24.66, tasks_avg=3.87, HV=0.5853, feasible ratio=1.00, Nsub=21, fea_archive=179, inf_archive=21
Gen   2: profit_max=98.00, profit_avg=35.39, load_min=0.00, att_min=0.00, quality_max=84.75, quality_avg=39.66, tasks_avg=6.56, HV=0.5037, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen   3: profit_max=138.00, profit_avg=48.95, load_min=0.00, att_min=0.00, quality_max=158.91, quality_avg=55.05, tasks_avg=9.02, HV=0.3352, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen   4: profit_max=168.00, profit_avg=60.94, load_min=0.00, att_min=0.00, quality_max=198.86, quality_avg=68.55, tasks_avg=11.23, HV=0.4160, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen   5: profit_max=173.00, profit_avg=63.81, load_min=0.00, att_min=0.00, quality_max=198.86, quality_avg=71.84, tasks_avg=11.69, HV=0.4463, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen   6: profit_max=204.00, profit_avg=73.13, load_min=0.00, att_min=0.00, quality_max=235.86, quality_avg=81.78, tasks_avg=13.23, HV=0.3636, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen   7: profit_max=241.00, profit_avg=83.15, load_min=0.00, att_min=0.00, quality_max=266.50, quality_avg=93.74, tasks_avg=15.09, HV=0.3855, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen   8: profit_max=241.00, profit_avg=87.79, load_min=0.00, att_min=0.00, quality_max=266.50, quality_avg=98.31, tasks_avg=15.85, HV=0.4182, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen   9: profit_max=241.00, profit_avg=92.19, load_min=0.00, att_min=0.00, quality_max=266.50, quality_avg=103.44, tasks_avg=16.70, HV=0.4224, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  10: profit_max=241.00, profit_avg=97.52, load_min=0.00, att_min=0.00, quality_max=266.50, quality_avg=109.94, tasks_avg=17.72, HV=0.4469, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  11: profit_max=241.00, profit_avg=105.90, load_min=0.00, att_min=0.00, quality_max=266.50, quality_avg=117.97, tasks_avg=19.17, HV=0.4512, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
