START s5_t300 / mode_sdas_dpic_dual_archive: 2026-05-28T09:32:28
COMMAND F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS + DPIC + Dual Archive

========== MODE-SDAS + DPIC + Dual Archive Run 1/8 ==========
Init: HV=0.3376, feasible ratio=0.48
Gen   1: profit_max=168.00, profit_avg=68.11, load_min=81.04, att_min=26.84, quality_max=171.91, quality_avg=74.09, tasks_avg=11.91, HV=0.3037, feasible ratio=0.71, fea_archive=119, inf_archive=81
Gen   2: profit_max=164.00, profit_avg=75.80, load_min=81.04, att_min=26.84, quality_max=179.93, quality_avg=83.60, tasks_avg=13.43, HV=0.4468, feasible ratio=0.83, fea_archive=200, inf_archive=98
Gen   3: profit_max=193.00, profit_avg=81.87, load_min=81.04, att_min=26.84, quality_max=224.48, quality_avg=91.99, tasks_avg=14.82, HV=0.4255, feasible ratio=0.96, fea_archive=200, inf_archive=102
Gen   4: profit_max=229.00, profit_avg=91.41, load_min=81.04, att_min=26.84, quality_max=244.20, quality_avg=102.67, tasks_avg=16.53, HV=0.3584, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen   5: profit_max=236.00, profit_avg=105.89, load_min=81.04, att_min=26.84, quality_max=244.20, quality_avg=118.25, tasks_avg=19.23, HV=0.4115, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen   6: profit_max=236.00, profit_avg=107.28, load_min=81.04, att_min=26.84, quality_max=244.20, quality_avg=120.74, tasks_avg=19.62, HV=0.4137, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen   7: profit_max=283.00, profit_avg=110.76, load_min=81.04, att_min=26.84, quality_max=338.78, quality_avg=124.80, tasks_avg=20.20, HV=0.2827, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen   8: profit_max=283.00, profit_avg=114.02, load_min=81.04, att_min=26.84, quality_max=338.78, quality_avg=128.07, tasks_avg=20.75, HV=0.3011, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen   9: profit_max=283.00, profit_avg=116.11, load_min=81.04, att_min=26.84, quality_max=338.78, quality_avg=130.31, tasks_avg=21.10, HV=0.3012, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  10: profit_max=283.00, profit_avg=118.44, load_min=81.04, att_min=26.84, quality_max=338.78, quality_avg=132.58, tasks_avg=21.50, HV=0.3131, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  11: profit_max=283.00, profit_avg=119.75, load_min=81.04, att_min=26.84, quality_max=338.78, quality_avg=133.42, tasks_avg=21.67, HV=0.3137, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  12: profit_max=283.00, profit_avg=119.75, load_min=81.04, att_min=26.84, quality_max=338.78, quality_avg=133.42, tasks_avg=21.67, HV=0.3137, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  13: profit_max=283.00, profit_avg=123.05, load_min=81.04, att_min=26.84, quality_max=338.78, quality_avg=136.54, tasks_avg=22.16, HV=0.3234, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  14: profit_max=283.00, profit_avg=124.04, load_min=81.04, att_min=26.84, quality_max=338.78, quality_avg=137.40, tasks_avg=22.26, HV=0.3278, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  15: profit_max=283.00, profit_avg=123.44, load_min=81.04, att_min=26.84, quality_max=338.78, quality_avg=137.16, tasks_avg=22.22, HV=0.3286, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  16: profit_max=283.00, profit_avg=125.44, load_min=81.04, att_min=26.84, quality_max=338.78, quality_avg=139.60, tasks_avg=22.61, HV=0.3786, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  17: profit_max=296.00, profit_avg=128.82, load_min=81.04, att_min=26.84, quality_max=346.05, quality_avg=143.17, tasks_avg=23.16, HV=0.3734, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  18: profit_max=373.00, profit_avg=130.39, load_min=81.04, att_min=26.84, quality_max=377.50, quality_avg=144.75, tasks_avg=23.41, HV=0.3330, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  19: profit_max=373.00, profit_avg=131.09, load_min=81.04, att_min=26.84, quality_max=377.50, quality_avg=144.47, tasks_avg=23.46, HV=0.3346, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  20: profit_max=373.00, profit_avg=132.92, load_min=81.04, att_min=26.84, quality_max=377.50, quality_avg=146.33, tasks_avg=23.79, HV=0.3423, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  21: profit_max=373.00, profit_avg=134.67, load_min=81.04, att_min=26.84, quality_max=377.50, quality_avg=149.57, tasks_avg=24.18, HV=0.3450, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  22: profit_max=373.00, profit_avg=136.11, load_min=81.04, att_min=26.84, quality_max=377.50, quality_avg=151.32, tasks_avg=24.45, HV=0.3466, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  23: profit_max=373.00, profit_avg=136.11, load_min=81.04, att_min=26.84, quality_max=377.50, quality_avg=151.32, tasks_avg=24.45, HV=0.3466, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  24: profit_max=373.00, profit_avg=140.02, load_min=81.04, att_min=26.84, quality_max=377.50, quality_avg=154.91, tasks_avg=25.13, HV=0.3471, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  25: profit_max=373.00, profit_avg=140.68, load_min=81.04, att_min=26.84, quality_max=377.50, quality_avg=156.22, tasks_avg=25.26, HV=0.3477, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  26: profit_max=373.00, profit_avg=143.13, load_min=81.04, att_min=26.84, quality_max=377.50, quality_avg=159.67, tasks_avg=25.76, HV=0.3503, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  27: profit_max=390.00, profit_avg=145.11, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=161.86, tasks_avg=26.08, HV=0.2947, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  28: profit_max=390.00, profit_avg=146.09, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=163.43, tasks_avg=26.35, HV=0.2968, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  29: profit_max=390.00, profit_avg=146.03, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=163.19, tasks_avg=26.35, HV=0.2968, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  30: profit_max=390.00, profit_avg=146.50, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=164.68, tasks_avg=26.47, HV=0.2994, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  31: profit_max=390.00, profit_avg=147.90, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=166.39, tasks_avg=26.69, HV=0.2996, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  32: profit_max=390.00, profit_avg=149.96, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=169.15, tasks_avg=27.12, HV=0.3323, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  33: profit_max=390.00, profit_avg=149.71, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=168.64, tasks_avg=27.03, HV=0.3395, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  34: profit_max=390.00, profit_avg=151.85, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=169.27, tasks_avg=27.26, HV=0.3394, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  35: profit_max=390.00, profit_avg=153.31, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=171.99, tasks_avg=27.68, HV=0.3396, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  36: profit_max=390.00, profit_avg=153.42, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=171.91, tasks_avg=27.65, HV=0.3384, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  37: profit_max=390.00, profit_avg=153.54, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=171.89, tasks_avg=27.68, HV=0.3384, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  38: profit_max=390.00, profit_avg=154.77, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=173.76, tasks_avg=28.05, HV=0.3376, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  39: profit_max=390.00, profit_avg=156.28, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=175.84, tasks_avg=28.38, HV=0.3375, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  40: profit_max=390.00, profit_avg=159.20, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=179.28, tasks_avg=28.95, HV=0.3375, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  41: profit_max=390.00, profit_avg=162.89, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=183.26, tasks_avg=29.59, HV=0.3382, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  42: profit_max=390.00, profit_avg=162.49, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=183.56, tasks_avg=29.47, HV=0.3389, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  43: profit_max=390.00, profit_avg=164.93, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=186.17, tasks_avg=29.91, HV=0.3401, feasible ratio=1.00, fea_archive=200, inf_archive=102
Gen  44: profit_max=390.00, profit_avg=166.21, load_min=81.04, att_min=26.84, quality_max=449.85, quality_avg=187.70, tasks_avg=30.15, HV=0.3394, feasible ratio=1.00, fea_archive=200, inf_archive=102
