START s5_t300 / mode_sdas_dual_archive: 2026-05-28T00:13:21
COMMAND F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.4298, feasible ratio=0.41
Gen   1: profit_max=162.00 load_min=53.04, att_min=0.00, quality_max=174.92 HV=0.4067, feasible ratio=0.56, fea_archive=97, inf_archive=103
Gen   2: profit_max=201.00 load_min=41.36, att_min=0.00, quality_max=225.90 HV=0.2540, feasible ratio=0.66, fea_archive=163, inf_archive=137
Gen   3: profit_max=215.00 load_min=41.36, att_min=0.00, quality_max=227.64 HV=0.3625, feasible ratio=0.82, fea_archive=200, inf_archive=155
Gen   4: profit_max=215.00 load_min=85.84, att_min=0.00, quality_max=227.64 HV=0.3761, feasible ratio=0.97, fea_archive=200, inf_archive=158
Gen   5: profit_max=249.00 load_min=85.84, att_min=0.00, quality_max=252.44 HV=0.3498, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen   6: profit_max=270.00 load_min=85.84, att_min=0.00, quality_max=270.37 HV=0.3582, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen   7: profit_max=290.00 load_min=85.84, att_min=0.00, quality_max=294.86 HV=0.3297, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen   8: profit_max=290.00 load_min=85.84, att_min=0.00, quality_max=294.86 HV=0.3385, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen   9: profit_max=311.00 load_min=85.84, att_min=0.00, quality_max=377.64 HV=0.3423, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  10: profit_max=311.00 load_min=85.84, att_min=0.00, quality_max=377.64 HV=0.3442, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  11: profit_max=311.00 load_min=85.84, att_min=0.00, quality_max=377.64 HV=0.3443, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  12: profit_max=311.00 load_min=85.84, att_min=0.00, quality_max=377.64 HV=0.3491, feasible ratio=1.00, fea_archive=200, inf_archive=158
