task_id,window_idx,sat_idx
0,0,2
1,0,9
2,3,2
3,5,3
4,7,3
5,6,2
6,7,2
7,12,3
8,8,6
9,9,0
10,12,7
11,18,3
12,13,0
13,14,6
14,16,0
15,24,3
16,23,4
17,22,6
18,28,3
19,27,7
20,29,3
21,32,3
22,25,2
23,34,3
24,32,4
25,37,3
26,35,6
27,37,4
28,32,9
29,37,5
30,39,6
31,41,5
32,39,9
33,43,2
34,40,1
35,45,9
36,46,4
37,54,3
38,49,6
39,53,0
40,58,9
41,57,0
42,54,8
43,54,5
44,53,1
45,59,4
46,54,1
47,57,1
48,66,7
49,66,8
50,68,8
51,68,0
52,73,7
53,75,8
54,74,5
55,81,7
56,78,5
57,77,3
58,77,0
59,81,4
60,83,6
61,85,6
62,85,5
63,87,4
64,88,0
65,89,0
66,96,4
67,97,5
68,92,2
69,94,8
70,104,9
71,101,4
72,98,8
73,94,1
74,110,7
75,105,8
76,107,8
77,100,2
78,115,6
79,109,4
80,120,9
81,111,4
82,106,2
83,117,8
84,119,3
85,113,2
86,126,7
87,121,8
88,113,1
89,131,7
90,129,5
91,135,7
92,122,4
93,130,8
94,130,3
95,140,7
96,141,6
97,139,5
98,136,8
99,129,1
