task_id,window_idx,sat_idx
0,0,0
1,0,9
2,2,2
3,4,2
4,4,7
5,8,3
6,10,3
7,7,7
8,11,4
9,9,2
10,12,8
11,12,1
12,13,9
13,16,5
14,19,4
15,18,9
16,22,5
17,20,8
18,28,3
19,27,7
20,22,0
21,30,6
22,22,1
23,26,2
24,32,4
25,28,1
26,35,5
27,32,0
28,35,2
29,37,5
30,39,2
31,42,4
32,39,0
33,42,9
34,42,0
35,44,4
36,46,5
37,49,0
38,52,7
39,52,2
40,60,3
41,55,2
42,54,6
43,56,4
44,57,6
45,59,6
46,61,6
47,61,2
48,63,6
49,65,6
50,69,7
51,69,4
52,62,1
53,72,6
54,74,5
55,76,3
56,79,6
57,86,9
58,77,0
59,82,4
60,83,8
61,84,6
62,86,4
63,88,6
64,93,7
65,92,3
66,98,7
67,99,7
68,86,1
69,98,0
70,100,4
71,102,5
72,99,8
73,102,8
74,107,6
75,108,5
76,95,1
77,101,2
78,115,6
79,111,3
80,112,8
81,115,0
82,102,1
83,124,9
84,106,1
85,115,4
86,120,8
87,128,7
88,127,5
89,135,9
90,125,8
91,131,5
92,122,2
93,134,5
94,143,9
95,133,8
96,145,9
97,130,4
98,127,1
99,147,7
