task_id,window_idx,sat_idx
0,0,3
1,2,3
2,2,2
3,3,4
4,4,4
5,5,9
6,7,1
7,7,6
8,13,3
9,9,8
10,10,1
11,14,4
12,20,3
13,14,1
14,18,5
15,18,9
16,22,4
17,21,8
18,25,6
19,18,1
20,22,0
21,29,7
22,25,9
23,27,0
24,27,9
25,36,3
26,35,5
27,31,9
28,38,4
29,38,6
30,34,1
31,36,8
32,42,5
33,42,9
34,46,7
35,47,7
36,48,6
37,48,4
38,50,0
39,47,1
40,54,0
41,56,7
42,55,8
43,56,4
44,61,7
45,58,4
46,64,7
47,62,4
48,65,3
49,71,9
50,66,4
51,64,2
52,71,5
53,72,0
54,74,5
55,77,6
56,79,6
57,81,6
58,79,3
59,82,4
60,87,7
61,84,4
62,75,1
63,92,7
64,89,6
65,89,0
66,90,8
67,85,1
68,90,2
69,94,8
70,102,7
71,105,9
72,96,2
73,97,2
74,111,9
75,109,5
76,106,0
77,101,2
78,110,8
79,116,6
80,113,8
81,104,2
82,102,1
83,104,1
84,111,2
85,123,0
86,126,6
87,122,3
88,126,0
89,124,3
90,132,7
91,130,0
92,119,1
93,134,5
94,125,2
95,137,5
96,142,6
97,131,2
98,142,5
99,140,0
