Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,334.0,0.0,0.0,367.2692105053374,100.0,100.0
2,290.0,0.0,0.0,355.85068371141165,100.0,100.0
3,321.0,0.0,0.0,376.68217075749385,100.0,100.0
4,285.0,0.0,0.0,380.7737991716157,100.0,100.0
5,261.0,0.0,0.0,306.9148315264511,100.0,100.0
6,305.0,0.0,0.0,344.5174342564421,100.0,100.0
7,299.0,0.0,0.0,342.9704681571303,100.0,100.0
8,292.0,0.0,0.0,355.3298765097387,100.0,100.0
Average,298.375,0.0,0.0,353.78855932445265,100.0,100.0
Std,20.951953966157905,0.0,0.0,21.91120660809772,0.0,0.0
