Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,309.0,0.0,0.0,342.6505695885328,100.0,100.0
2,305.0,0.0,0.0,343.2632172501021,100.0,100.0
3,295.0,0.0,0.0,340.52659600060053,100.0,100.0
4,300.0,0.0,0.0,363.90613210649394,100.0,100.0
5,351.0,0.0,0.0,425.9496794981756,100.0,100.0
6,332.0,0.0,0.0,420.4604513531711,100.0,100.0
7,307.0,0.0,0.0,379.2078536107727,100.0,100.0
8,325.0,0.0,0.0,407.8721843878572,100.0,100.0
Average,315.5,0.0,0.0,377.97958547446325,100.0,100.0
Std,17.705931209625774,0.0,0.0,33.643320464929815,0.0,0.0
