Run,Param_Set,DPIC_ALPHA,DPIC_SIGMA,DPIC_GAMMA,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,297.0,0.0,0.0,334.34437081793783,100.0,100.0
2,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,319.0,0.0,0.0,337.56701922231883,100.0,100.0
3,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,318.0,0.0,0.0,351.8648731560308,100.0,100.0
4,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,281.0,0.0,0.0,329.8061068944989,100.0,100.0
5,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,344.0,0.0,0.0,366.5850759696627,100.0,100.0
6,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,287.0,0.0,0.0,355.0547020202391,100.0,100.0
7,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,317.0,0.0,0.0,368.0723710003188,100.0,100.0
8,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,334.0,0.0,0.0,371.54898592904846,100.0,100.0
Average,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,312.125,0.0,0.0,351.8554381262569,100.0,100.0
Std,a0p01_s0p0015_g0p90,0.01,0.0015,0.9,20.702883253305565,0.0,0.0,15.309277200452499,0.0,0.0
