Run,Param_Set,DPIC_ALPHA,DPIC_SIGMA,DPIC_GAMMA,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,a0p02_s0p002_g0p90,0.05,0.002,0.9,314.0,0.0,0.0,391.4063533510681,100.0,100.0
2,a0p02_s0p002_g0p90,0.05,0.002,0.9,262.0,0.0,0.0,248.85569081096207,100.0,100.0
3,a0p02_s0p002_g0p90,0.05,0.002,0.9,280.0,0.0,0.0,312.92553540240175,100.0,100.0
4,a0p02_s0p002_g0p90,0.05,0.002,0.9,320.0,0.0,0.0,359.1586277102807,100.0,100.0
5,a0p02_s0p002_g0p90,0.05,0.002,0.9,235.0,0.0,0.0,277.14526698774466,100.0,100.0
6,a0p02_s0p002_g0p90,0.05,0.002,0.9,307.0,0.0,0.0,359.78259280058495,100.0,100.0
7,a0p02_s0p002_g0p90,0.05,0.002,0.9,316.0,0.0,0.0,385.613308800651,100.0,100.0
8,a0p02_s0p002_g0p90,0.05,0.002,0.9,245.0,0.0,0.0,291.3421309052281,100.0,100.0
Average,a0p02_s0p002_g0p90,0.05,0.002,0.9,284.875,0.0,0.0,328.2786883461152,100.0,100.0
Std,a0p02_s0p002_g0p90,0.05,0.002,0.9,31.9469775565702,0.0,0.0,49.67531497236926,0.0,0.0
