Run,Param_Set,DPIC_ALPHA,DPIC_SIGMA,DPIC_GAMMA,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,paper_a0p08_s0p01_g0p90,0.08,0.0025,0.9,320.0,0.0,0.0,349.26207114285955,100.0,100.0
2,paper_a0p08_s0p01_g0p90,0.08,0.0025,0.9,282.0,0.0,0.0,350.9889019083463,100.0,100.0
3,paper_a0p08_s0p01_g0p90,0.08,0.0025,0.9,245.0,0.0,0.0,276.71045720783104,100.0,100.0
4,paper_a0p08_s0p01_g0p90,0.08,0.0025,0.9,286.0,0.0,0.0,300.2603635994984,100.0,100.0
5,paper_a0p08_s0p01_g0p90,0.08,0.0025,0.9,289.0,0.0,0.0,301.09427516206256,100.0,100.0
6,paper_a0p08_s0p01_g0p90,0.08,0.0025,0.9,337.0,0.0,0.0,393.6318324274265,100.0,100.0
7,paper_a0p08_s0p01_g0p90,0.08,0.0025,0.9,285.0,0.0,0.0,326.95932320420167,100.0,100.0
8,paper_a0p08_s0p01_g0p90,0.08,0.0025,0.9,270.0,0.0,0.0,321.0932584159897,100.0,100.0
Average,paper_a0p08_s0p01_g0p90,0.08,0.0025,0.9,289.25,0.0,0.0,327.500060383527,100.0,100.0
Std,paper_a0p08_s0p01_g0p90,0.08,0.0025,0.9,26.541241493193194,0.0,0.0,34.38552009035672,0.0,0.0
