Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,217.0,0.0,0.0,233.6289399742997,100.0,100.0
2,301.0,0.0,0.0,359.4196175359948,100.0,100.0
3,239.0,0.0,0.0,263.7823973734805,100.0,100.0
4,280.0,0.0,0.0,321.53592911200735,100.0,100.0
5,255.0,0.0,0.0,312.43736187140564,100.0,100.0
6,317.0,0.0,0.0,362.792708621284,100.0,100.0
7,318.0,0.0,0.0,339.1957228833033,100.0,100.0
8,278.0,0.0,0.0,356.9505155432519,100.0,100.0
Average,275.625,0.0,0.0,318.7178991143784,100.0,100.0
Std,34.241559178869174,0.0,0.0,44.42088430716622,0.0,0.0
