Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,418.0,59.44,17.613521425314133,442.498242070206,100.0,100.0
2,475.0,38.959999999999994,0.0,433.99794503179857,100.0,100.0
3,483.0,60.160000000000004,17.73364984993219,509.63782291401236,100.0,100.0
4,443.0,65.36,0.0,460.3901241201243,100.0,100.0
5,468.0,29.439999999999998,0.0,449.77887198415124,100.0,100.0
6,469.0,11.440000000000001,0.0,478.8260261433447,100.0,100.0
7,451.0,51.6,0.0,484.7708002821543,100.0,100.0
8,452.0,60.15999999999999,0.0,464.73223340080443,100.0,100.0
Average,457.375,47.07,4.418396409405791,465.5790082433245,100.0,100.0
Std,19.49959935485855,17.666507860921467,7.652945996108297,23.16343748153029,0.0,0.0
