Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,433.0,165.04000000000002,0.0,417.83315067237265,100.0,100.0
2,449.0,47.44,0.0,435.60925221230895,100.0,100.0
3,478.0,13.36,0.0,451.2389294573848,100.0,100.0
4,499.0,18.16,0.0,526.6083591143558,100.0,100.0
5,417.0,15.440000000000001,0.0,460.63580377570844,100.0,100.0
6,427.0,57.760000000000005,0.0,455.32884833571103,100.0,100.0
7,439.0,46.239999999999995,0.0,461.57633966102344,100.0,100.0
8,435.0,61.040000000000006,0.0,506.6432975124981,100.0,100.0
Average,447.125,53.06,0.0,464.4342475926704,100.0,100.0
Std,25.915427355148903,45.97927794126394,0.0,33.40918129982152,0.0,0.0
