Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,343.0,0.0,0.0,367.3097975733904,100.0,100.0
2,361.0,8.0,0.0,393.67993133035986,100.0,100.0
3,391.0,5.359999999999999,0.0,419.340028887525,100.0,100.0
4,370.0,3.7600000000000007,0.0,399.9463424222481,100.0,100.0
5,359.0,1.7599999999999998,0.0,382.26156446642386,100.0,100.0
6,374.0,4.8,0.0,410.9384187653132,100.0,100.0
7,321.0,4.4,0.0,361.31365602721837,100.0,100.0
8,374.0,3.6,0.0,393.640049653654,100.0,100.0
Average,361.625,3.96,0.0,391.05372364076663,100.0,100.0
Std,20.136642595030583,2.232487401980132,0.0,18.754094860436346,0.0,0.0
