Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,424.0,21.439999999999998,0.0,424.8273542447975,100.0,100.0
2,445.0,29.839999999999996,0.0,470.51071556539597,100.0,100.0
3,443.0,20.639999999999997,0.0,410.5812623788519,100.0,100.0
4,476.0,46.64,0.0,507.7871869147356,100.0,100.0
5,504.0,56.96,0.0,491.43168727610595,100.0,100.0
6,484.0,46.0,0.0,501.64067063871573,100.0,100.0
7,468.0,46.96,0.0,448.5409074992779,100.0,100.0
8,483.0,26.560000000000002,0.0,494.31275242051095,100.0,100.0
Average,465.875,36.88,0.0,468.7040671172989,100.0,100.0
Std,24.73579137606072,12.949131244990918,0.0,34.45631823995806,0.0,0.0
