Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,512.0,20.240000000000002,0.0,511.8762591843499,100.0,100.0
2,469.0,55.760000000000005,25.022179960986616,470.1432363675842,100.0,100.0
3,429.0,51.44,0.0,513.895419712858,100.0,100.0
4,513.0,58.64000000000001,0.0,521.2960669189919,100.0,100.0
5,456.0,76.0,0.0,503.43787996091714,100.0,100.0
6,432.0,32.239999999999995,0.0,472.0912530779723,100.0,100.0
7,470.0,25.840000000000003,0.0,537.8200932178707,100.0,100.0
8,400.0,81.36,0.0,404.12058610766036,100.0,100.0
Average,460.125,50.19,3.127772495123327,491.8350993185256,100.0,100.0
Std,37.1733691639593,21.076771574413385,8.275308179684309,39.62273783709015,0.0,0.0
