Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,461.0,81.03999999999999,26.838058890314702,467.1438382492115,100.0,100.0
2,469.0,27.04,39.96417501963478,495.8543626850951,100.0,100.0
3,424.0,10.24,0.0,433.8637756258173,100.0,100.0
4,547.0,56.64,0.0,483.66438035716715,100.0,100.0
5,412.0,8.16,0.0,450.5344523680799,100.0,100.0
6,435.0,36.0,0.0,401.551150921407,100.0,100.0
7,448.0,69.36,0.0,501.211655090334,100.0,100.0
8,443.0,0.0,0.0,447.8301926308222,100.0,100.0
Average,454.875,36.059999999999995,8.350279238743685,460.2067259909918,100.0,100.0
Std,38.88906497976006,28.245346519382622,14.830708778915668,31.4875020105211,0.0,0.0
