Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,424.0,85.84,0.0,502.4570957897975,100.0,100.0
2,406.0,52.160000000000004,0.0,448.7881729991925,100.0,100.0
3,441.0,94.0,0.0,432.02608673257714,100.0,100.0
4,477.0,120.56000000000002,0.0,466.0353245324965,100.0,100.0
5,468.0,11.36,0.0,447.0118496056872,100.0,100.0
6,422.0,44.16,40.738293975079515,498.11498818840863,100.0,100.0
7,438.0,31.360000000000003,0.0,472.82490737027126,100.0,100.0
8,511.0,101.84,0.0,526.379130486941,100.0,100.0
Average,448.375,67.66,5.092286746884939,474.20469446317145,100.0,100.0
Std,32.35327456379029,35.83097542629841,13.472924336887667,30.259708862395904,0.0,0.0
